word,count
맞은편,2
눈치,2
돈가스,2
여름,2
속도,2
값어치,2
도톰하다,2
쪽,2
창밖,2
조합,2
따뜻하다,2
가짓수,2
연어,2
다행,2
힘드다,2
좌석,2
화이팅,2
시장,2
시,2
단골,2
외식,2
오시,2
엄지,2
아버지,2
댓글,2
별도,2
두껍다,2
수준,2
살,2
흐,2
안나,2
제철,2
켯,2
모,2
일,2
이렇다,2
요즘,2
주신,2
더하다,2
척,2
마자,2
습,2
가리비,2
두툼,2
개운하다,2
이름,2
단연,2
산,2
정성,2
코,2
룻,2
심지어,2
진국,2
건물,2
노을,2
훨,2
실력,2
음식점,2
기름,2
하라,2
집중,2
현지,2
만찬,2
갈수,2
급,2
얼마,2
고해,2
뿌듯하다,2
도민,2
플레이,2
발렛,2
추,2
동생,2
신랑,2
간다,2
두,2
혼,2
이쁘다,2
나머지,2
남자친구,2
쌈,2
국,2
부도,2
어마어마하다,2
원래,2
양념장,2
소라,2
살짝,2
회스끼,2
주인,2
분과,2
지리,2
얼마나,2
매번,2
배정,2
순간,2
사업,2
천국,2
홀딱,2
원하다,2
죽도,2
바람,2
거의,2
희망,2
위주,2
헛갈려,2
발견,2
뻔,2
팀,2
오류로,2
양은,2
회사,2
싹싹,2
느리다,2
점원,1
데코,1
글쎄요,1
꼼꼼하다,1
굳다,1
기타등등,1
기도,1
나들이,1
전반,1
다운,1
땐,1
전만,1
우후,1
맛이엇다,1
땜,1
나왓다,1
점점,1
상상,1
아빠,1
영업,1
선정,1
쫄깃쫄깃했어,1
횟감들,1
새섬,1
감칠맛,1
거짓말,1
잘생기다,1
상위,1
정확하다,1
역대,1
식구,1
같아욤,1
도움,1
부산,1
토박이,1
엄청나다,1
회덮밥,1
테,1
술술,1
다,1
어우려져,1
만큼,1
랍,1
일차,1
나름,1
조리,1
차로,1
안주,1
장난없다,1
호호,1
개도,1
거중,1
베스,1
시장님,1
서칭해,1
노력,1
초심,1
헛되,1
임산부,1
포커스,1
함,1
화장실,1
일인,1
수고,1
우르르,1
진,1
누나,1
황홀하다,1
어느덧다,1
간친,1
구들,1
교육,1
듯해,1
옴,1
저장,1
음으로,1
섶섬,1
하루,1
야하다,1
손소독,1
독도,1
스끼다시등,1
이계석,1
보라,1
꼽,1
고소,1
푸지,1
싱싱,1
오니,1
트윈,1
기온,1
스케,1
주,1
땟깔,1
차,1
감상,1
근사하다,1
확실하다,1
뻔하다,1
내일,1
가득하다,1
대학교,1
기전,1
생기,1
귀찮다,1
필요,1
잠깐,1
비행기,1
이예,1
타고,1
기운,1
차려,1
줄,1
아랐는데,1
하니,1
도미,1
갓,1
처럼,1
의,1
우뚝,1
섭섬,1
유리,1
통,1
왓,1
칭구들,1
괘안네,1
호강,1
엄선,1
아름답다,1
포항,1
향기,1
체고,1
상이,1
미소,1
월,1
상차림,1
ㅤㅊㅚㄱ오,1
회양,1
쪼매,1
시로,1
안남다,1
사랑,1
반려견,1
손수,1
라면,1
운전,1
미숙,1
발렛파킹,1
만점,1
예전,1
파도,1
나무,1
해변,1
막상,1
체적,1
포식,1
복잡하다,1
한적하다,1
캬,1
공원,1
환장하다,1
골,1
초등학생,1
미네,1
설날,1
연,1
인터넷,1
어치,1
품질,1
안좋다,1
능성,1
굳이,1
곳도,1
본전,1
건,1
블로거,1
아시,1
막회,1
실망하다,1
탁트인,1
안보,1
힐링,1
이끼,1
멋있다,1
클리어,1
대식,1
방역,1
가요,1
껍,1
자세하다,1
외형,1
날씨,1
운치,1
비쥬,1
나선,1
선,1
