name,id
모니카옛날통닭,16834930
중화양꼬치,0000
스페이스비어펍,0000
만한반점,0000
맛장터,32161979
두루와,1934408876
난타오천연동점,35839159
지지고부치고,1454762357
화연,36280675
신번지,31714496
엄마가차린밥상연동점,0000
가인,0000
서진향해장국신제주점,1646258625
동협한라회초밥,1038168303
부가부가부가네얼큰이제원점,410199206
진낙지앤,1893283890
마메종,0000
돈잇수다,1005950094
죽마고우,0000
홍초불닭연동점,0000
스페샬유나이티드점,0000
친구,0000
호텔시리우스,1278914403
산촌,0000
스크류쿨제원점,1674399574
원조제원깡통숯불구이,0000
담담매운갈비연구소,0000
케이오늘,0000
미스칠,38555906
제주분식,0000
멘부리제주,1933214971
제주닭한마리,0000
곰탕제작소신제주점,0000
보기플레이,21762773
백두산갈비앤냉면,1165403875
올래파이,33817690
통큰장어신제주점,1159262876
대박왕갈비연동점,1706034555
신신식당,0000
만운성,19816625
대박집,0000
쓰레빠,0000
금안이네국수,0000
웰빙밥도둑,129208307
이가네일품해장국신제주점,0000
둥지,0000
롯데지알에스풀바,0000
주민상회신광점,1453918784
신제주삼보,32162545
길,0000
문성반점,16853457
번개포차본점,1495566254
언노운아지트,0000
산전수전인생역전,1167009219
꼬방,38710942
퀸스,0000
금정무오리목점,1983711426
황금돈가,34662269
해녀바당,20403100
족발슈퍼연동점,1501094455
탐라도새기천국,32164038
쏘바,0000
뜨르르,17012679
파티장,0000
롯데지알에스씨카페,0000
베네토,34621578
(주)서촌제 스시100,1967726445
마라양꼬치,37434013
구제포,1062980195
금룡관광호텔구내(2층),0000
신미조리,37608953
주다방제원점,1417178196
뽄쟁이,0000
제주국담,1779984568
훈이숯불갈비,38673143
삼오칠회센타,1611832588
엄블랑호다,340878283
미스터와규,1038893514
신사본가송탄부대찌개,1135204983
오라방라운지,1429562541
또순이모부페,16846025
램스키친,1130167376
롯데스파랜드구내,0000
마라샹궈전문점매운향솥,34203618
모퉁이에머릿돌,16844378
이게밥도둑,36379118
예향정신제주점,1318242561
돌멩이,0000
좀녀마을,13444956
고사리,0000
파티,0000
에이라운지,1091977712
델라,0000
일미고을,1533128178
까투리행운점,32037291
각시탈,1631263815
골목회수산,1198646965
킴스딜리버리,1166776009
대굴대굴,33461057
일,0000
김밥상회,35065416
짱짱소주방,454743531
경희네몽생이,0000
프로젝트064,86398282
담백한그집,19652551
매옹이,1054949592
물음표,0000
보통김밥,1101729046
카도,0000
리보스코화덕피자,33979724
전원,0000
둘리네국수,21226783
모모,0000
창작일식요리엔,64263107
우수미회센타,35591021
페리카나연동점,11800491
레전드,0000
갓쭈,0000
천하육회,32163875
와플칸제주직영점,1373287112
화덕앤그릴,1914973393
국밥먹고가라,0000
성게애빠져,1947407635
스페샬연노점,0000
한솥도시락제주한라병원점,1899161411
무정해장국,32163866
연동박가네,11575946
원님네포장마차,21762119
카인드펍,1489135114
조선옥,0000
만원의행복,0000
궁한스샤브샤브신제주점,16849312
센트럴시티66가,0000
짝태노가리제주1호점,37501302
육남매,16835515
아구에반하다,1400333415
새몽실식당,11865276
국수나무집,0000
종로3가감자탕,0000
세광양대창제주연동점,1732373518
모심청국장,21758365
연안식당,0000
와이,0000
더썸,0000
주연이네,1247359862
메밀꽃차롱,0000
육회공작소,0000
힘찬장어,32163590
연동피지에이구내매점,0000
카페뮤로,1213853981
가리본가본점,35333890
마리나스크린골프구내,0000
제주한우곱창,36946257
가시버시정육구이,37811888
모슬포해안도로,0000
만배수산,1719550433
아이리스,0000
스페샬삼무점,38710868
식객의주방,1646453903
컴포즈커피제주제원점,1227919052
한양춘향연화점,1815152739
낙지로,1680027211
을찌로국물떡볶이연동점,0000
복덕이네,1461114113
참사랑전복해물탕,0000
코알라,0000
버닝썬,1652344397
엘리,0000
호식이두마리치킨연동신시가지점,36516564
광림,0000
사토,0000
학창시절,0000
올레스크린앤,0000
흥부네정식,1224841740
풍전스크린골프,0000
달맞이,36460723
연동돈우가,1681096979
부가네얼큰이연동점,21763823
케이팝,0000
막쇠,1703576513
오막한우막창,1131080767
제삼굽,1570775374
명태골연동점,1187293688
안트래,32163404
한라관광호텔(한식),0000
도랑도랑,38308658
개염지영말축,1252710598
딱한잔포차,1024922700
탕궁훠궈,770727838
냉동고,1574871277
모살물2호점,1056433527
까투리꼬치구이태양점,477750934
고씨회관,1447941383
칠십리,32163929
시골못난이투,1729420533
차곡,1183253777
멕시카나치킨앤치킨더홈연동점,0000
돼지꿈본점,0000
솔비,0000
돈나무,1025111873
비비큐치킨앤비어삼무공원점,36652002
아이진카페비,0000
스틸,0000
털보산해,32163329
스테이크백,0000
백세장수설렁탕,1916353923
인덱스제이드림호텔구내,0000
바오펑,37931568
문학쉼팡시집,0000
종종캐주얼다이닝,0000
레스토랑헤라,0000
아이러브키친,0000
춘천명동닭갈비연동점,32162778
알라운지,1156666785
쉐프의스시이야기,32590864
신제주보말칼국수제주본점,1815377666
한라생돈,20373236
쉐프이야기,34555887
돌트멍,0000
둘이두리,1961303573
간또,1668351100
연한돈,1747088967
다도푸드,1128182120
제주흑돼지참숯구이,1530141027
신제주그랜드,16838383
블루스카이,0000
옥화네포차,32590868
루스트익스프레스루스트플레이스팍차이나,0000
물동이,1800123845
한신포차제주연동점,1236387464
만객,36232377
정한토속삼계탕원조설렁탕,32160054
비밀의정원,17016461
미미한식탁제주,1050582074
테이크투,0000
토방속의장독대,1650501767
회사가는날,1526873143
계림,1820532632
네네치킨연동점,13090472
더짝연동점,0000
로다,0000
구어도돼지,0000
제주다금바리회초밥,1842058271
투다리남서울점,38623557
어신,33705556
정글북바이앨리스,1350166554
바,0000
마이도,1800485579
남다른대구막창연동점,36630143
산방산,1116812922
소렉,832889136
검은쇠몰고오는,16831484
청담동,0000
연동반점,0000
쏭스,0000
피자쿠치나신제주점,1403703867
돈보따리생생갈비,16846502
호박이네,1384138293
돈게도라,1363623902
산과들신제주점,0000
토대력,0000
금호훼밀리호텔구내오형제손짜장,0000
아이린,0000
한수포차제주연동점,0000
에르메술,0000
제주창스닥,20812583
페리카나신제주점,11800421
꿀꿀이식당,1172580281
맛스타,1614319824
소,0000
노가리앤비어연동점,137787178
사천요리,0000
디디치킨연동점,1192170404
댜오위다오,0000
신주양꼬치제주점,37491905
뼈감만족,1309236984
낙지골목,38710884
정우말가든,11730676
주사랑,0000
히아담,1996719245
레드제플린,1043628601
란주우육면,0000
큰동네국수,32162885
제노티카,1898424349
짝치즈등갈비,1835311523
갈비아빠,1025284968
래고라이브,0000
맵수다,19879656
왕대포연동점,0000
유카페,0000
제주살사마르,1207209816
탕1988,0000
담,0000
고기중독,19562089
설맥연동점,1919298658
세븐스타,0000
조은이웃구이집,16841283
라지마할,13449128
삼다가,16828576
더캐슬,0000
은행나무집,0000
진돼지,1703010786
만타스시31앤이자카야연동점,0000
포35,1868753186
헤이국밥,1756911517
델리시우,1395165985
일용이네,16840388
등불,20982123
더골드,0000
대도식당연동점,0000
한솥도시락제주연동대림점,19893110
팔플러스퓨전중식,0000
천하일품,16843366
일등급한식,0000
자작나무,0000
달리자서울포차연동점,1196178753
돈후명가,1967654629
혼고,85539935
예쁜술자리,1669601369
스바루,16830398
카사베라,19550905
참새와방앗간,0000
민들레식탁,0000
황소곱창,0000
최가네옛날손두부집,1604899080
민성이네식당,1343435030
케이관광호텔식당,0000
레드팬더,36340365
신라스테이제주바(BAR),0000
신라스테이제주카페(CAFE),37402196
레스토랑더원,0000
더원앤바,0000
카사블랑카,0000
팔팔돼지,35014081
제주공항본점공항뚝배기,1682686371
노랑통닭,0000
민우네국수,506318261
미라클라이브카페,36938062
