법정동코드,법정동명,폐지여부
5013011200,제주특별자치도 서귀포시 중문동,존재
5013011300,제주특별자치도 서귀포시 회수동,존재
5013011400,제주특별자치도 서귀포시 대포동,존재
5013011500,제주특별자치도 서귀포시 월평동,존재
5013011600,제주특별자치도 서귀포시 강정동,존재
5013011700,제주특별자치도 서귀포시 도순동,존재
5013011800,제주특별자치도 서귀포시 하원동,존재
5013011900,제주특별자치도 서귀포시 색달동,존재
5013012000,제주특별자치도 서귀포시 상예동,존재
5013012100,제주특별자치도 서귀포시 하예동,존재
5013012200,제주특별자치도 서귀포시 영남동,존재
5013025000,제주특별자치도 서귀포시 대정읍,존재
5013025021,제주특별자치도 서귀포시 대정읍 상모리,존재
5013025022,제주특별자치도 서귀포시 대정읍 하모리,존재
5013025023,제주특별자치도 서귀포시 대정읍 안성리,존재
5013025024,제주특별자치도 서귀포시 대정읍 인성리,존재
5013025025,제주특별자치도 서귀포시 대정읍 일과리,존재
5013025026,제주특별자치도 서귀포시 대정읍 가파리,존재
5013025027,제주특별자치도 서귀포시 대정읍 신평리,존재
5013025028,제주특별자치도 서귀포시 대정읍 동일리,존재
5013025029,제주특별자치도 서귀포시 대정읍 보성리,존재
5013025030,제주특별자치도 서귀포시 대정읍 구억리,존재
5013025031,제주특별자치도 서귀포시 대정읍 무릉리,존재
5013025032,제주특별자치도 서귀포시 대정읍 영락리,존재
5013025033,제주특별자치도 서귀포시 대정읍 신도리,존재
5013025300,제주특별자치도 서귀포시 남원읍,존재
5013025321,제주특별자치도 서귀포시 남원읍 남원리,존재
5013025322,제주특별자치도 서귀포시 남원읍 태흥리,존재
5013025323,제주특별자치도 서귀포시 남원읍 한남리,존재
5013025324,제주특별자치도 서귀포시 남원읍 수망리,존재
5013025325,제주특별자치도 서귀포시 남원읍 의귀리,존재
5013025326,제주특별자치도 서귀포시 남원읍 신흥리,존재
5013025327,제주특별자치도 서귀포시 남원읍 위미리,존재
5013025328,제주특별자치도 서귀포시 남원읍 하례리,존재
5013025329,제주특별자치도 서귀포시 남원읍 신례리,존재
5013025900,제주특별자치도 서귀포시 성산읍,존재
5013025901,제주특별자치도 서귀포시 성산읍 신양리,존재
5013025921,제주특별자치도 서귀포시 성산읍 성산리,존재
5013025922,제주특별자치도 서귀포시 성산읍 오조리,존재
5013025923,제주특별자치도 서귀포시 성산읍 시흥리,존재
5013025924,제주특별자치도 서귀포시 성산읍 고성리,존재
5013025925,제주특별자치도 서귀포시 성산읍 수산리,존재
5013025926,제주특별자치도 서귀포시 성산읍 온평리,존재
5013025927,제주특별자치도 서귀포시 성산읍 신산리,존재
5013025928,제주특별자치도 서귀포시 성산읍 삼달리,존재
5013025929,제주특별자치도 서귀포시 성산읍 신풍리,존재
5013025930,제주특별자치도 서귀포시 성산읍 신천리,존재
5013025931,제주특별자치도 서귀포시 성산읍 난산리,존재
5013031000,제주특별자치도 서귀포시 안덕면,존재
5013031001,제주특별자치도 서귀포시 안덕면 대평리,존재
5013031021,제주특별자치도 서귀포시 안덕면 화순리,존재
5013031022,제주특별자치도 서귀포시 안덕면 창천리,존재
5013031023,제주특별자치도 서귀포시 안덕면 감산리,존재
5013031024,제주특별자치도 서귀포시 안덕면 상창리,존재
5013031025,제주특별자치도 서귀포시 안덕면 사계리,존재
5013031026,제주특별자치도 서귀포시 안덕면 덕수리,존재
5013031027,제주특별자치도 서귀포시 안덕면 서광리,존재
5013031028,제주특별자치도 서귀포시 안덕면 동광리,존재
5013031029,제주특별자치도 서귀포시 안덕면 광평리,존재
5013031030,제주특별자치도 서귀포시 안덕면 상천리,존재
5013032000,제주특별자치도 서귀포시 표선면,존재
5013032021,제주특별자치도 서귀포시 표선면 표선리,존재
5013032022,제주특별자치도 서귀포시 표선면 하천리,존재
5013032023,제주특별자치도 서귀포시 표선면 성읍리,존재
5013032024,제주특별자치도 서귀포시 표선면 가시리,존재
5013032025,제주특별자치도 서귀포시 표선면 세화리,존재
5013032026,제주특별자치도 서귀포시 표선면 토산리,존재
