사업장명,도로명전체주소
향기마라탕오리전문점,"제주특별자치도 제주시 중앙로 140, 1층 (삼도이동)"
폭풍장어외도점,"제주특별자치도 제주시 일주서로 7326, 1층 (외도일동)"
인추자커피앤민박,"제주특별자치도 제주시 추자면 추자로 20-1, 1층"
혜안,"제주특별자치도 제주시 해안마을10길 39, 1층 (해안동)"
수빈이네제주밥상,"제주특별자치도 제주시 사라봉7길 31-1, 1층 (건입동)"
안녕하샌,"제주특별자치도 제주시 구좌읍 월정3길 53-15, 2동"
오늘식탁,"제주특별자치도 제주시 가령로4길 1, 1층 (이도이동)"
신촌도시락,"제주특별자치도 제주시 조천읍 신북로 88, 지1층 104호 (라움시티)"
사랑방포차,"제주특별자치도 제주시 한림읍 한림중앙로 14, 1층"
돈삼겹직영5호점,"제주특별자치도 제주시 신설로9길 37, 지하1층 (이도이동)"
미미래,"제주특별자치도 제주시 용담로 94, 1층 (용담이동)"
티엔미미,"제주특별자치도 제주시 연동4길 8, 1,2층 (연동)"
블랙,"제주특별자치도 제주시 서광로32길 37-5, 2층 (이도이동)"
호자,"제주특별자치도 제주시 구좌읍 세화8길 7, 1층"
장전반점,"제주특별자치도 제주시 애월읍 하소로 373, 1층"
아하,"제주특별자치도 제주시 은남1길 31, 3층 (연동)"
한림칼국수제주세화점,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층"
베롱베롱인행원,"제주특별자치도 제주시 구좌읍 해맞이해안로 820-38, 1층"
동문감자탕,"제주특별자치도 제주시 중앙로13길 25-2, 보인빌딩 1층 (일도일동)"
심해,"제주특별자치도 제주시 조천읍 조함해안로 330-1, 지하1층"
애월기록,"제주특별자치도 제주시 애월읍 번대동길 4, 1층"
금능바다식당,"제주특별자치도 제주시 한림읍 한림로 224, 1층"
역전할머니맥주제주시청점,"제주특별자치도 제주시 광양8길 4, 1층 (이도이동)"
멜맥집,"제주특별자치도 제주시 중앙로1길 41-1, 1층 (건입동)"
오늘도치킨과맥주가좋다,"제주특별자치도 제주시 한림읍 사가길 22, 1층"
알프스인소길,"제주특별자치도 제주시 애월읍 소길남길 22, 1층"
뽕꼬랑,"제주특별자치도 제주시 조천읍 남조로 2228, 1층"
노가리앤비어이도일동점,"제주특별자치도 제주시 동광로 39, 1층 (이도일동)"
수애기베이커리카페이호점,"제주특별자치도 제주시 현사길 47, 1층 (이호일동)"
앤,"제주특별자치도 제주시 애월읍 하귀12길 39, 1층"
커피베이노형점,"제주특별자치도 제주시 월랑로10길 23, 1층 (노형동)"
젠틀래빗제주연동점,"제주특별자치도 제주시 연동12길 4, 15층 (연동)"
딜레탕트,"제주특별자치도 제주시 조천읍 신북로 144, 1,2층"
원스몰글라스,"제주특별자치도 제주시 서광로32길 27-3, 2층 (이도이동)"
제주울어멍김밥,"제주특별자치도 제주시 진군2길 17, 1층 (노형동)"
체게바라,"제주특별자치도 제주시 내도3길 21, 1층 (내도동)"
미리로,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)"
36.5도여름,"제주특별자치도 제주시 애월읍 애납로 165, 1층"
더더,"제주특별자치도 제주시 애월읍 엄장로 16, 1층"
안녕전복,"제주특별자치도 제주시 관덕로 3, 1층 (삼도이동)"
한앤솜하우스,"제주특별자치도 제주시 진군남2길 10-5, 1층 (노형동)"
사이분식,"제주특별자치도 제주시 한림읍 한성길 4-1, 1층"
치토랑제주아라점,"제주특별자치도 제주시 간월동로 21, 1층 (아라이동)"
오그커피,"제주특별자치도 제주시 한림읍 옹포3길 9-3, 1층"
과일담,"제주특별자치도 제주시 월랑로4길 13, 1층 (노형동, 흥아빌라)"
온푸드,"제주특별자치도 제주시 신설로11길 51, 1층 (이도이동)"
삼양백년짜장,"제주특별자치도 제주시 설촌로12길 36, 1층 (삼양이동)"
부원뚝배기,"제주특별자치도 제주시 한림읍 일주서로 5608, 지하1층"
호탕,"제주특별자치도 제주시 애월읍 애월로8길 8, 1층"
온월,"제주특별자치도 제주시 한림읍 명월성로 137-19, 1층"
다다미,"제주특별자치도 제주시 월랑로 30, 1층 2호 (노형동)"
플로리카페,"제주특별자치도 제주시 연신로 188-20, 누리힐 1층 (영평동)"
춘천명동닭갈비삼화점,"제주특별자치도 제주시 화삼로1길 16, 1층 (화북일동)"
옹포쌀국수,"제주특별자치도 제주시 서문로 70-1, 1~3층 (용담일동)"
카페공방아지트,"제주특별자치도 제주시 조천읍 조천7길 25, 1층"
바른곱창하귀점,"제주특별자치도 제주시 애월읍 하광로 53, 1층"
신제주황가네,"제주특별자치도 제주시 은남3길 28, 1층 (연동)"
고이정,"제주특별자치도 제주시 애월읍 애월로 6, A동 1층"
객잔,"제주특별자치도 제주시 삼봉로2길 18, 1층 (삼양이동)"
옹포83,"제주특별자치도 제주시 한림읍 옹포8길 3, 1층"
가죽이랑놀자,"제주특별자치도 제주시 구좌읍 월정7길 44, 1층"
일품순두부함덕점,"제주특별자치도 제주시 조천읍 함와로 24, 1층"
방긋스낵,"제주특별자치도 제주시 구좌읍 행원로1길 32-5, 1층"
질레,"제주특별자치도 제주시 사라봉13길 16, 1층 (건입동)"
예서갈비,"제주특별자치도 제주시 인다6길 57, 1층 (아라일동)"
주민상회하귀점,"제주특별자치도 제주시 애월읍 하광로 46, 1층"
미번베트남쌀국수,"제주특별자치도 제주시 한림읍 한림로5길 23, 1층 1호"
가나포차,"제주특별자치도 제주시 신대로20길 46, 지하1층 (연동, 연동가나휘닉스1)"
아일랜드프로젝트,"제주특별자치도 제주시 전농로 29, 1층 (삼도일동)"
당당,제주특별자치도 제주시 애월읍 중엄안1길 25
미화족발전문점,"제주특별자치도 제주시 진동로5길 31, 144호 (화북일동, 화북시장아파트)"
소동잡화,"제주특별자치도 제주시 조천읍 함덕로 32, 2동 1층"
진식당,"제주특별자치도 제주시 도남로7길 30, 1층 (도남동)"
영도할배국밥,"제주특별자치도 제주시 삼성로 59, 1층 (일도이동)"
꼬지사께연동점,"제주특별자치도 제주시 국기로4길 1, 1층 (연동)"
제이카페앤바,"제주특별자치도 제주시 서광로32길 16, 3층 (이도이동)"
영평가시나물마을회,"제주특별자치도 제주시 516로 2810-31, 양지공원 지하1층 (영평동)"
솔삼춘,"제주특별자치도 제주시 조천읍 조함해안로 428-18, 1층"
카페포레스트,"제주특별자치도 제주시 구좌읍 비자림로 2330, 1층"
착한소21,"제주특별자치도 제주시 천수로 52, 오성빌딩 1층 (일도이동)"
맛있는참세상,"제주특별자치도 제주시 한경면 용금로 496, 1층"
모스트펍,"제주특별자치도 제주시 원노형2길 29, 2층 (노형동)"
무보,"제주특별자치도 제주시 한림읍 금능6길 16-14, 1층"
주식회사이스트포레스트,"제주특별자치도 제주시 구좌읍 종달로1길 26-1, 1층"
콩창고,"제주특별자치도 제주시 한림읍 명월성로 55, 1층"
초딩입맛,"제주특별자치도 제주시 다랑곶길 36, 1층 (노형동, 솔누리주택)"
하르방짬뽕,"제주특별자치도 제주시 애월읍 하귀동남4길 4, 1층"
푸른바다찜탕,"제주특별자치도 제주시 남성로 42, 1층 (용담일동)"
군산야식,"제주특별자치도 제주시 서사로 105, 1층 (삼도일동)"
장어창고,"제주특별자치도 제주시 한경면 두신로 146, 1층"
회만원,"제주특별자치도 제주시 동광로6길 21, 1층 (이도이동)"
동백키친,"제주특별자치도 제주시 한림읍 수원7길 42, 1층"
비비큐올리브카페제주시청점,제주특별자치도 제주시 서광로 292-1 (이도이동)
돌담위에흑돼지,"제주특별자치도 제주시 애월읍 애월해안로 608, 1층"
옛날통닭닭치고족치고함덕점,"제주특별자치도 제주시 조천읍 함와로 54, 1층"
골프존클럽하우스그늘집,"제주특별자치도 제주시 월랑로 51, 1층 (노형동)"
서머셋,"제주특별자치도 제주시 삼무로 66, 1층 (연동)"
엘리펀트힙,"제주특별자치도 제주시 탑동로 20, 1층 (삼도이동)"
소확행,"제주특별자치도 제주시 동광로 12, 1층 (이도이동)"
나르드카페,"제주특별자치도 제주시 한림읍 한림상로 110, 다동 1층"
하시야,"제주특별자치도 제주시 애월읍 애월로11길 7, 1층"
딱새우랑,"제주특별자치도 제주시 구좌읍 해맞이해안로 990, 1층"
뮤커피(mucoffee),"제주특별자치도 제주시 우정로15길 42-3, 1층 (외도일동)"
순옥이네명가함덕점,"제주특별자치도 제주시 조천읍 함덕로 6, 1층"
누운,"제주특별자치도 제주시 조천읍 중산간동로 430-1, 1층"
때지국수,"제주특별자치도 제주시 신광로8길 3, 1층 (연동)"
비비큐제주우도점,"제주특별자치도 제주시 우도면 우도비양길 53-8, 1층"
수라원,"제주특별자치도 제주시 구산로 70-1, 1층 (아라일동)"
제주담다KBS제주점,"제주특별자치도 제주시 복지로1길 8, KBS 제주방송총국 1층 (도남동)"
땡겨불닭,"제주특별자치도 제주시 도남로15길 4-12, 1층 101호 (도남동, 한아빌라)"
호랑이다락,"제주특별자치도 제주시 한림읍 한림상로 15-5, 다동 2층"
바다수선화식당,"제주특별자치도 제주시 한림읍 협재1길 24, 본동,2동"
엠케이엠1에프앤비,"제주특별자치도 제주시 구남로 49, 지1층 (이도이동)"
고모네돔베,"제주특별자치도 제주시 조천읍 선교로 519, 1층"
연동혼떡,"제주특별자치도 제주시 신대로12길 51, 로얄쇼핑센타및오피스텔 지하2층 20호 (연동)"
라뷰,"제주특별자치도 제주시 중앙로 114, 2층 (삼도이동)"
한림로555,"제주특별자치도 제주시 서광로30길 7, 1층 (이도이동)"
우주파,"제주특별자치도 제주시 탑동로 81, 1층 (삼도이동)"
굽당,"제주특별자치도 제주시 다랑곶2길 5, 1층 (노형동)"
30년할매닭발 한림점,"제주특별자치도 제주시 한림읍 한림로 690, 1층"
오례밥집,"제주특별자치도 제주시 조천읍 조천우회로 527, 202동 1층 102호 (에덴빌리지2차)"
어서우도,"제주특별자치도 제주시 우도면 우도해안길 1032, 1층"
미트서플라이,"제주특별자치도 제주시 조천읍 선교로 149, 제2동 1층"
소담키친,"제주특별자치도 제주시 애월읍 항몽로 34, 1층"
동문꼬마김밥,"제주특별자치도 제주시 동문로 18, 1층 (일도일동)"
동광회센타,"제주특별자치도 제주시 연삼로 544, 1층 (일도이동)"
오키니,"제주특별자치도 제주시 연화로2길 8, 1층 (연동)"
이로운술상,"제주특별자치도 제주시 조천읍 함덕16길 44, 1층"
새미언덕,"제주특별자치도 제주시 중산간동로 188-6, 1층 (회천동)"
역전할머니맥주일도점,"제주특별자치도 제주시 천수로9길 1, 1층 (일도이동, 그랑펠리스)"
제주그때그집한림협재점,"제주특별자치도 제주시 한림읍 한림로 591, 1층"
돈사돈월정점,"제주특별자치도 제주시 구좌읍 한동북1길 29-3, 1층"
너나들이민속주점,"제주특별자치도 제주시 구남로 38, 1층 (이도이동)"
애월돈가스집,"제주특별자치도 제주시 애월읍 애월로1길 26-8, 1층"
평산제면소,"제주특별자치도 제주시 한경면 두신로 42, 1층"
달세뇨아빠의레스토랑,"제주특별자치도 제주시 조천읍 함대로 520, 1층"
애월연어,"제주특별자치도 제주시 애월읍 하소로 660, 1층"
태하횟집,"제주특별자치도 제주시 동한두기길 31-2, 1,2층 (용담일동)"
노가리앤비어삼화지구점,"제주특별자치도 제주시 건주로4길 10-4, 1층 (도련일동)"
협재홀라인,"제주특별자치도 제주시 한림읍 한림로 197, 1층"
박대감,"제주특별자치도 제주시 중앙로2길 37, 1층 (삼도이동)"
노가리앤비어노형2호점,"제주특별자치도 제주시 수덕7길 21, 가동 1층 101호 (노형동)"
돈삼겹한라점,"제주특별자치도 제주시 연화로 51, 1층 (연동)"
한샘해장국본점,"제주특별자치도 제주시 아연로 195-1, 1층 (오라이동)"
태랑,"제주특별자치도 제주시 테우해안로 136, 1층 (이호일동)"
제주우드펍,"제주특별자치도 제주시 서해안로 348-1, 1층 (도두이동)"
브루클린,"제주특별자치도 제주시 애월읍 신엄연대길 30, 1층"
오족누와오과누,"제주특별자치도 제주시 신광로 103, 신제주오피스텔 1층 105호 (연동)"
곰돌이숯불갈비,"제주특별자치도 제주시 일주서로 7852, 1층 (연동)"
호야네집,"제주특별자치도 제주시 연화로1길 6-1, 1층 (연동)"
비자향,"제주특별자치도 제주시 구좌읍 비자림로 2270, 1층"
삼춘네정육식당,"제주특별자치도 제주시 화삼로1길 15, A동 2층 (화북일동)"
더회전훠궈,"제주특별자치도 제주시 노연로 55, 2층 (노형동)"
앙뚜아네트용두암점,"제주특별자치도 제주시 서해안로 671, 1층 (용담삼동)"
짝태앤노가리제주2호점,"제주특별자치도 제주시 원노형남1길 46, 1층 (노형동)"
세화바당,"제주특별자치도 제주시 구좌읍 세화1길 7, 1층"
파라디소,"제주특별자치도 제주시 전농로 75-1, 2층 (삼도이동)"
하효소머리국밥,"제주특별자치도 제주시 인다4길 4, 1층 (아라일동)"
맛깔참죽신제주점,"제주특별자치도 제주시 도령로 111, 1층 (연동, 진호뉴캐슬)"
돌담통닭,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층"
카페결,"제주특별자치도 제주시 우도면 하고수길 64, B동 1~2층"
땅땅치킨외도점,"제주특별자치도 제주시 우정로 52, 1층 (외도일동)"
월정해변식당,"제주특별자치도 제주시 구좌읍 월정1길 70-12, 1층"
옛날아우내순대,"제주특별자치도 제주시 애월읍 애월해안로 960, 1층"
환상숲곶자왈공원,"제주특별자치도 제주시 한경면 녹차분재로 594-1, 1층"
용궁반점,"제주특별자치도 제주시 한림읍 한림남2길 27, 1층 105호 (새한림맨션)"
미풍해장국일도베라체점,"제주특별자치도 제주시 연신로 89, 1층 (이도이동)"
카페조아,"제주특별자치도 제주시 연오로 39, 2층 (오라삼동)"
보리수카페,"제주특별자치도 제주시 동문로 31, 2층 (일도일동)"
카페보리다,"제주특별자치도 제주시 오복1길 17, 1층 100호 (이도이동, 스마트빌라)"
에머이제주점,"제주특별자치도 제주시 인다3길 8-2, 2층 (아라일동)"
삼생이심야식당,"제주특별자치도 제주시 남성로 99, 1층 (용담일동)"
우도돌담집,"제주특별자치도 제주시 우도면 우도해안길 472, 1층"
월령작야,"제주특별자치도 제주시 한림읍 월령3길 39-5, 지하1층"
대독장제주본점,"제주특별자치도 제주시 연북로 212, 1층 (오라이동)"
똥광,"제주특별자치도 제주시 신대로19길 13-1, 1층 (연동)"
라몽,"제주특별자치도 제주시 다랑곶6길 38, 1층 (노형동)"
쟁반정식연화,"제주특별자치도 제주시 한경면 중산간서로 3678, 1층"
명희식당,"제주특별자치도 제주시 한경면 녹차분재로 626, 1층"
더로그,"제주특별자치도 제주시 산천단동3길 26, 1,2층 (아라일동)"
노랑통닭노형점,"제주특별자치도 제주시 한라대학로 81, 유유빌 1층 (노형동)"
미혜네,"제주특별자치도 제주시 원노형6길 11-5, 1층 (노형동)"
소북경,"제주특별자치도 제주시 원노형로 54, 3층 (노형동)"
도련한우식육식당,"제주특별자치도 제주시 삼봉로 211, 1층 (도련일동)"
제주밥상살레,"제주특별자치도 제주시 한림읍 금능4길 14-1, 1층"
오빠네해물라면,"제주특별자치도 제주시 한림읍 한림로 475, 지하1층"
옹포다방,"제주특별자치도 제주시 한림읍 한림로 485-4, 1층"
주민상회애월점,"제주특별자치도 제주시 애월읍 애원로 5, 1층"
펍아지트,"제주특별자치도 제주시 조천읍 신북로 643, 1층"
레드향샤브샤브,"제주특별자치도 제주시 한경면 녹차분재로 564, 1층"
인디언썸머,"제주특별자치도 제주시 애월읍 애월로4길 9, 1층"
로스트앤헤븐,"제주특별자치도 제주시 테우해안로 162, 1층 (이호일동)"
고향향토장터,"제주특별자치도 제주시 추자면 추자로 576, 신양어촌계 1층"
헬렌앤마리,"제주특별자치도 제주시 관덕로8길 11, 1층 102호 (이도일동, 극동행복그린)"
메종글래드제주부처,"제주특별자치도 제주시 노연로 80, 메종글래드 제주 1층 (연동)"
토대력스마일점,"제주특별자치도 제주시 서광로 264, 1층 (삼도일동)"
협재머겅가게,"제주특별자치도 제주시 한림읍 한림로 349-1, 1층"
족발야시장노형점,"제주특별자치도 제주시 다랑곶1길 9, 1층 (노형동)"
동귀리갈칫집,"제주특별자치도 제주시 월랑로 83, 1층 (노형동)"
마라하오구제주점,"제주특별자치도 제주시 광양6길 2, 1층 102호 (이도일동)"
서프라이즈,"제주특별자치도 제주시 조천읍 남조로 2243, 1동 1층"
런던다락,"제주특별자치도 제주시 한림읍 한림로 335, D동 1층"
우도로93,"제주특별자치도 제주시 우도면 우도로 93, 1층"
약산흑염소가든,"제주특별자치도 제주시 대동길 2, 2층 (이호이동)"
모닥치기아라,"제주특별자치도 제주시 인다9길 8, 1층 (아라일동)"
신이내린닭앤냠냠숯불두마리치킨,"제주특별자치도 제주시 신설로9길 48, 1층 (이도이동)"
코끼리휴게소점빵,"제주특별자치도 제주시 흥운길 73, 1층 (용담이동)"
제로웨이,"제주특별자치도 제주시 원남6길 58, 1층 (도남동)"
협재술집김씨술생활,"제주특별자치도 제주시 한림읍 한림로 406, 2층"
족발야시장일도점,"제주특별자치도 제주시 고마로 145, 1층 (일도이동)"
명호,"제주특별자치도 제주시 신대로12길 15, 1층 (연동)"
김녕에사는김영훈,"제주특별자치도 제주시 구좌읍 김녕로6길 2, 1층"
카페책자국,"제주특별자치도 제주시 구좌읍 종달로1길 117, 1층"
대나무집,"제주특별자치도 제주시 정존1길 2, 1층 (노형동)"
카페분식이다,"제주특별자치도 제주시 구남로2길 25, 1층 (이도이동)"
차롱전복칼국수,"제주특별자치도 제주시 서해안로 468-4, 1층 (용담삼동)"
커뮤니티라운지,"제주특별자치도 제주시 동문로 16, 2층 (일도일동)"
역전할머니맥주연동점,"제주특별자치도 제주시 노연로 108, 1층 (연동)"
카페원웨이,"제주특별자치도 제주시 한경면 일주서로 4459-4, 1,2층"
칠칠판,"제주특별자치도 제주시 신산로 61, 1층 (일도이동)"
가장맛있는족발이도점,"제주특별자치도 제주시 승천로 72, 1층 (아라이동)"
남이네육개장,"제주특별자치도 제주시 서사로 62, 1층 (삼도일동)"
스토브온제주,"제주특별자치도 제주시 한림읍 중산간서로 4062, 나동 1층"
협재1번가,"제주특별자치도 제주시 한림읍 협재1길 1, 1층"
현카페,"제주특별자치도 제주시 조천읍 함덕18길 1, 지하1층"
제주맛족,"제주특별자치도 제주시 서사로 75, 1층 (삼도이동)"
더그레이스,"제주특별자치도 제주시 한경면 낙수로 276, 1층"
청양양복점,"제주특별자치도 제주시 남광로2길 39-6, 햇살하우스 1층 (이도이동)"
한이장식당,"제주특별자치도 제주시 조천읍 중산간동로 667, 1층"
고향모밀촌,"제주특별자치도 제주시 일주동로 358, 1층 (삼양이동)"
순수한둠비,"제주특별자치도 제주시 서문로 37-11, 2층 (용담일동)"
오오야마,"제주특별자치도 제주시 광양13길 6-1, 1층 (이도이동)"
케이투엠,"제주특별자치도 제주시 다랑곶5길 10, 1층 (노형동)"
별미집본점,"제주특별자치도 제주시 월랑로10길 17, 1층 (노형동)"
소리가있는풍경,"제주특별자치도 제주시 아란서길 110, A동 1층 (아라일동)"
치킨파티,"제주특별자치도 제주시 신성로10길 37, 1층 (이도이동, 목성빌라)"
비손식당,"제주특별자치도 제주시 구좌읍 해맞이해안로 1926-3, A동 1층"
양화정함덕점,"제주특별자치도 제주시 조천읍 신북로 491, 1층"
건입동백설공주,"제주특별자치도 제주시 중앙로1길 34-6, 1층 (건입동)"
곱창이야기연동점,"제주특별자치도 제주시 신대로14길 43, 1층 (연동)"
이벤트당구클럽,"제주특별자치도 제주시 고마로 32, 2층 (일도이동)"
슬로우,"제주특별자치도 제주시 도남로 3, 1층 (도남동)"
꾸브라꼬숯불두마리치킨이도점,"제주특별자치도 제주시 고산동산5길 19, 1층 (이도이동)"
골목술집,"제주특별자치도 제주시 동광로21길 3, 1층 (일도이동)"
근고기세상,"제주특별자치도 제주시 동문로4길 9, 동문공설시장, 동문공영주차장 1층 (일도일동)"
천재당구카페,"제주특별자치도 제주시 절물2길 37, 3층 (외도일동)"
주식회사싱싱잇,"제주특별자치도 제주시 한림읍 한림로 181, 1층"
아방얼큰칼국수,"제주특별자치도 제주시 중앙로12길 22, 1층 (삼도이동)"
아트인명도암,"제주특별자치도 제주시 명림로 209, 1층 (봉개동)"
협재시흥소곱창구이,"제주특별자치도 제주시 한림읍 한림로 331, 1층"
임꺽정도시락,"제주특별자치도 제주시 진군길 19-2, 1층 (노형동)"
진미돼지국밥,"제주특별자치도 제주시 조천읍 신북로 632, 1층"
호식이두마리치킨삼화점,"제주특별자치도 제주시 일주동로 340, 백양빌딩 1층 (삼양이동)"
청춘두루치기,"제주특별자치도 제주시 정존1길 25, 1층 (노형동)"
공생,"제주특별자치도 제주시 천수동로2길 23, 1층 (일도이동)"
빼어날수,"제주특별자치도 제주시 연동6길 11, 1층 (연동)"
후윤식당,"제주특별자치도 제주시 남성로 120, 1층 (삼도일동)"
추자골목식당,"제주특별자치도 제주시 추자면 대서3길 8, 1층"
그집,"제주특별자치도 제주시 광양13길 26, 1층 (이도이동)"
백일흑야,"제주특별자치도 제주시 산천단동3길 26, 1층 (아라일동)"
고깃소리,"제주특별자치도 제주시 서흘1길 56, 1,2층 (삼양일동)"
교촌치킨외도하귀점,"제주특별자치도 제주시 애월읍 하귀9길 56, 1층"
신창흑돼지두루치기,"제주특별자치도 제주시 한경면 두신로 74-1, 1층"
모모스,"제주특별자치도 제주시 서흘1길 26, 3층 (삼양일동)"
삼화포구2,"제주특별자치도 제주시 서흘1길 26, 2층 (삼양일동)"
일품물항아리,"제주특별자치도 제주시 애월읍 하귀9길 23, 1층"
안트레오젠,"제주특별자치도 제주시 애월읍 곽지1길 16, 1층"
소소락,"제주특별자치도 제주시 광평서길 14, 1층 (노형동)"
구어라조연탄,"제주특별자치도 제주시 서광로32길 28, 1층 (이도이동)"
돌코롬마켓,"제주특별자치도 제주시 동문로4길 14, 1층 (일도일동)"
제주돈애월점,"제주특별자치도 제주시 애월읍 신엄로 28, 1층"
끌림삼육오,"제주특별자치도 제주시 애월읍 고내로13길 83, A동 1층"
낭뿌리식당,"제주특별자치도 제주시 수덕9길 82, 1층 (노형동)"
동궁찜닭,"제주특별자치도 제주시 성신로1길 21, 1층 (연동)"
제주한우앤돈본점,"제주특별자치도 제주시 오라로 50, 1층 (오라삼동)"
땅스부대찌개한림점,"제주특별자치도 제주시 한림읍 한림중앙로 40-1, 1층"
넝쿨하눌연동,"제주특별자치도 제주시 신대로7길 17, 1층 (연동)"
커피마마제주연동점,"제주특별자치도 제주시 연동7길 8, 1층 (연동)"
아라수산,"제주특별자치도 제주시 인다3길 8, 1층 (아라일동)"
일품순두부터미널점,"제주특별자치도 제주시 서광로 167, 아리랑빌딩 1층 (용담일동)"
(주)제주피슈마라홍탕,"제주특별자치도 제주시 중앙로 230, 중앙빌딩 4층 (이도이동)"
한일내장탕연북로점,"제주특별자치도 제주시 남광로2길 86, 1층 (이도이동)"
전이전,"제주특별자치도 제주시 서광로5길 2-3, 1층 (용담일동)"
피스풀제주,"제주특별자치도 제주시 진군3길 22, 대명주택 1층 (노형동)"
미풍해장국봉개점,"제주특별자치도 제주시 번영로 420, 1층 (봉개동)"
시장초밥,"제주특별자치도 제주시 우령6길 3-17, 1층 (외도일동)"
수목이네,"제주특별자치도 제주시 연오로 6, 1층 (연동)"
괸당집도남점,"제주특별자치도 제주시 도남로 26, 1층 (도남동)"
또온다곱창,"제주특별자치도 제주시 은남길 30, 1층 (연동)"
광성로255,"제주특별자치도 제주시 애월읍 광성로 255, 1층"
푸르다제주,"제주특별자치도 제주시 한경면 판포4길 41-41, 1층"
뜨레솥밥,"제주특별자치도 제주시 애월읍 평화로 2556, 1층"
왕복짚라인제주주식회사,"제주특별자치도 제주시 해안마을북길 14-5, 105동 1층 (해안동)"
응,"제주특별자치도 제주시 구좌읍 문주란로5길 17, 1층"
아길라,"제주특별자치도 제주시 한림읍 옹포2길 12-10, 1층"
금능제면소,"제주특별자치도 제주시 한림읍 금능길 47, 제2동 1층"
스트릿16,"제주특별자치도 제주시 용두암길 16, 1층 (용담이동)"
행복한애월상점애월식탁,"제주특별자치도 제주시 애월읍 애월로1길 26-4, 2층"
