리뷰
치킨은 양념치킨
양념치킨은 페리카나
맛있어요
좋아요
양념치킨은 페리페리페리카나
오후시에 전화해서 시 방문포장 예약했는데
""
시분에 방문해보니
지금 기름통 청소를 안해서 기다리라더라
""
시까지 마리 포장해달란거 잊었냐고 물으니
주문한거 알고있다고 근데 지금 청소중인데 어떡하느냐고
""
어이없어서 기다릴테니 해달라 했더니
나보다도 늦게온 다른 손님한테 반반 포장을 시분에 내놓고
나는 시분 되어서야 두마리 받았는데
뭐 이런 경우가 다있나
""
두번다시 여기서 사먹나봐라
""
좋아요
