리뷰
메가커피는역시 메가커피
근데 컵보증금은 
""
굿
새로 나온 신메뉴 광고를 보자마자 바로 메가커피행수박화채스무디인데 안에 내가 좋아하는 펄이 들어 있다고 해서 기대기대 평소에 너무너무 먹어보고 싶었던 감자빵도 있어서 같이 주문 음료 맛 나쁘지는 않았는데 개인적으로 감자빵 요놈이 완전 명물이다
완전 쫀쫀하고 비주얼부터 뭐 하나 손색 없는
한 가지 손색을 꼽으라면가격이 원이라 혜자스럽지는 못한 점
그치만 또 먹을 가능성 
빵이 따뜻하고 맛있습니다 집중도 잘되고 좋네요 다음에 또 오겠습니다
신제주 스케쳐스 매장에 들렸다가 옆에 메가커피 있길래 참새가 방앗간을 못 지나치듯 바로 들려서 딸기라떼 하나 주문 엄청 맛있구 달구 무엇보다 딸기 알갱이 씹혀서 입이 심심하지 않았다네요 맛있어요
커피가 너무 써요  다른메가 보다 커피가  탬핑 강도를 좀 덜 하시는건 어떠세요 
메가커피 좋아요
해장에는 메가 에이드만한게 없단 말이지
친절하시고 가성비 괜찮아요
컵보증금원 으로인해
매우당황스러웠습니다
