리뷰
굿
굿
바삭한 후라이드 맛
바삭한 후라이드 맛있어요
여행와서 치킨 찾는 아이때문에 시켰는데 따끈하고 맛있게 잘 먹었습니다 양도 넉넉해서 좀 남겼어요
좋아요
좋아요
좋아요
맛나요
좋아요
아 오랜만에 어릴적먹던 그 양념치킨 맛이 떠올라서 근처매장검색해서 주문후 픽업 하러갔지
입구부터 아 젠장 더럽다 
치킨받으러 들어가서 주방한번 봐보고 주문하세요 두명겨우 설수있는 창고같은 곳에서 온벽에 덕지덕지 밀가루랑 양념 칠 되어있고아 맛떨어져 병걸릴것같아
맛있어요
양념이 진짜 맛있음
