리뷰
코로나시즌에 문 못여시다가 다시오픈하신지 몇일안되셨다고
넘 친절하게 고기에 치즈말아주시면서 설명해주시는데
너무 심한에 눈살찌푸리게
그래도 맛있으면 괜춘할뻔했지만
너무딱딱하고 냄새나는 고기와 하나도 안늘어나는 치즈 치즈는 사장님도 인정하심 
누린내가 너무심해서 명이 인분시켜서 억지로먹다가 다시 다른밥집감 
음악도없고 다른손님도없고
불편하고사장님은 친절하시지만
잘됐으면하는맘에 사장님께 음식맛에대해
공손히 말씀드리고 나와버림
버려진 원 아깝지않게 
개선되었으면 좋겠습니다
