리뷰
네기타코 최고
맛있어요
맛있어요
제주 입도하고 타코야끼 유목민되어서 타코야끼만 보이면 무조건 사먹었었는데 타코닷을 왜 이제야 안걸까요
심지어 집근처라니 좋아하는 청양고추 잔뜩 올라간 타코야끼  안에 들어있는 문어도 진짜 쫄깃하구 그동안 제가 먹었던건
가짜문어였어요 제주에서 타코야끼는 무조건 이집입니다 같이 먹은 매실에이드도 매실이 진해서 너무 맛있게 먹었어요 다음엔 콘치즈에 하이볼 먹으려고 벌써 정해뒀어요 
맛있어요
맛있어여정말정말 맛있어여 굿굿굿
항상 겉바속촉으로 맛나게 먹었는데 오늘은 눅눅하고 아쉽
파가 낭낭하게 많아서 잘 먹었습니다
엄청 특별한 맛은 아니지만 괜찮았어요 약간 불고기 소스 맛
타코전문점이 있어서 너무 좋았어요 문어 씹는맛이 좋네요
매장에서 기다리는 동안 아이스티도 주시고 나온 타코야끼도 맛별로 다 맛있어서 너무 좋았어요 역시 올 때마다 만족스럽네요
맛있어요 메뉴 여러가지라서 좋아요
타고닷 옆에 쿠키닷 쿠키 드디어 샀으요 
늦게 가서 그런지
메뉴가 별루 남아 있지 않고 품절이였어요 그래도 있는거라도 사왔어요 녹차초코칩 너무 맛있어요  당 충전 완전 대박  메이플 피칸 휘낭시에 맛있어요 엄마가 좋아했어요 전 쓰리 넛츠도 고소하고 맛좋아요 다음에는 일찍 가서 다른 메뉴도 사먹어 볼게요 그런데 케이크가 정말 맛있게 생겨 보였는데 다음에는 케이크도 같이 구입해 보겠습니다조만간 또 갈게요 
네기야끼랑 갈릭먹어봤는데 맛나요
사장님 너무 친절하시고 케이크 진짜 너무 맛있어요다음에또 갈께용 
이렇게 바삭한 타코야끼는 처음 먹어봐요
아주 맛있습니다
타코야끼 맛있어요
타코야끼가 되게 바삭해요
이런 타코야끼는 거의 처음먹어봤어요 말랑말랑한 식감을 원하시는 분들은 선호하지 않으시겠지만 전 괜찮았습니다
맛있어요
진챠 쳤어요 타코야끼계의 인생 맛집이에요  이렇게 바삭바삭한 타코야끼 처음 먹어봐요 
제주 여행 박일인데 일 내내 갈거에요 진짜
주문하고 차에 있었는데 사장님 음식 포장해주시규 들고 나와주실 정도로 너무 친절하십니다
제발 꼭 떼부자 되셔서 서울에도 가게 내셨으면 좋겠어요
넘넘 맛있어요
지난번에 기본맛 먹고 맛있어서 이번엔 치즈맛이랑 갈릭맛 먹어봤는데 큰거 시킬껄 후회했어요 또 먹으러 갈거예요호
마시써요 다마싯는데 특히 네기야끼 존맛탱 무슨일이야 진짜 이거 먹어보세요 제발제발제발
타코야끼 노점은 잘 안보이고 여기가 맛있대서 가봤는데 맛있어요
겉바속촉 굿
기본 타코닷 먹었는데 존맛이네요 다음엔 네기랑 매운맛 먹어볼래요 사장님도 친절하시고 맛있고 짱이에요
타코야끼 맛있어요 바삭바삭 안은 촉촉하고 고소합니다
제주도 놀러간날 타코야끼 생각이 갑자기 나서 찾다 가본 타코닷 엉엉 여긴 걍 무조건 픽해놓고 제주도갈때마다 양손가득 사와야할거같아요 진심 인생타코야끼 이 집 타코가 또 바삭한맛이있어서 너무조와
사장님도 너무 친절하셔서 제발 들숨에 재력을 날숨에 건강을 얻으세요 담에또가겠습니다
마싯어요
로투스 최고
저는 밀가루 들어간 쿠키 먹으면 자주 배아픈데 여기는 괜찮네용
타코야끼 좋아해서 자주 올 것 같아요 
진심 타코야끼 여기서만 먹어요 
맛있습니당
굿
맛있어요
겉바속촉 맛있어요
반반 안 되는 건 아쉬워요 
너무 맛있음 
지금까지 먹어 본 타코야끼중에 제일 맛있었어요
맛있어요
믿고먹어요넘맛있어서
진짜 너무너무너무 맛있어요
너무 배고파서 먹느라 사진은 못 찍었지만 진짜 맛있어요 양도 많고
겁나게 맛있어요 진짜 추ㅤㅊㅝㄴ
제주도 여행와서 출출하길래 타코야끼 검색하다 알게되서 부랴부랴 왔던 집 토핑 엄청 가득 넣어주시고 치즈 킬런데 치즈 너무 맛있어ㅤㅇㅛㅋ치즈 들어있는 타코야끼 위에 치즈소스 듬뿍 같이 여행갔던 일행은 네끼파 타코야끼가 더 맛있다고 하더라구요 살짝 느끼할수있는 맛을 파가 잡아줘서 더 담백하고 식감있게 먹을 수 있었어요 위가 개라 종류별로 먹지못한게 한이네ㅤㅇㅛㅋ리뷰 이렇게 진심담에 쓰진않는데 사장님이 친절하셔서 여행 중에 맛난것도 먹고 기분좋았네요 번창하시고 다음 여행때도 뵐게요
개맛있음 
진짜 이제까지 먹었던 타코야끼 중에서 젤 맛잇어요
일하는데 가까이 생겨서 너뮤 좋아요 또 들릴게용
타코야끼 맛집 동네에 생겨서 좋아요 
깨끗하고 맛잇어요 찐문어라 그런지 확실히 맛이 달라요
너무 맛나요 진짜 문어라 그런지 감칠맛이 미쳤네여
맛있어요 다음에 또 올게요
근처에 타코야끼 파는데가 없어서 아쉬웠는데 맛있어용 
매장 깨끗하고 친절해요  네기야끼 맛있어요 
이번에 회사 근처에 생겨서 방문했는데 타코야끼 맛도 여러가지고 좋네여
타코야끼맛집 진짜 겉바
