리뷰
맛있어요
가끔씩 가지만 매번 만족해요
번째예요
주차도 뒤에할수있어 좋아요
둘이와서 작은거시켰는데 다음에는 
어묵탕도 시켜야겠어요
바람이 차네요
벌써 다먹어버렸어요
다음에는 큰거 시켜야겠어요
가격에비해 음식이 신선하고 맛있어요
사장님 서비스도 좋구요
자주 와야겠어요
가격도 착하고 맛있어요
