리뷰
가격대비 크고 맛있어요사장님도 친절하시고 여행왔다가 주문했는데 맛있게 잘 먹었습니다
넘 맛있었어요최고최고
피자가 맛있어요
여기 진짜 파닭 맛집이에요  이렇게 좋은 가격에 파닭을 먹을 수 있다는게 좋아요
보통이예요
곰파닭 곰피자 피자굽는 곰아저씨
