리뷰
짝꿍이 보드게임을 좋아해서 방문했어요
진짜 깔끔하고 분위기 좋아요
재미도 있고 직원분들 모두 친절하셔서 너무 즐거운 시간 보내고 왔어요
보드게임 좋아하는데 아무래도 지인들과 같이 놀기에는 보드게임장보다 여기가 좋을꺼 같아서 왔어요
분위기도 좋고 친절하셔서 진짜 너무 즐겁게 놀다왔어요 
앞으로도 자주 놀러올께요
진짜 인테리어 깔끔하니 너무 마음에 드네요
맥주도 알아서 꺼내 마실수 있어서 편하고 좋아요
자주 오게될꺼 같아요
맥주가 맛도 좋고 인테리어 갬성 있어서 시간가는지 모르고 즐겁게 놀았네요
지인들과 자주 방문하고 싶은 곳이예요
분의기도 편안하고 실내 인테리어도 깔끔해서
입장부터 분의기보고 만족스러웠어요
게임 종류도 다양하고 초보자들도 알기 쉽도록 설명잘해주셔서 어렵지않고 게임을 즐겼네요
출출해서 라면시켰었는데 여기서 라면드셔보세요 라면 맛집임
맥주도 다양해서 좋고 바로 꺼내서 먹음되니 편하더라구요 늦은시간까지 운영이되서 올빼미족인 저에게 딱인곳인데요 보드게임 첨 해보는데 완전 빠져들어 조만간 또 갈듯한잼나요
갬성가득한 분위기에 내부도 깨끗 화장실마저도 깨끗했어요 지저분한거 겁나싫어하는데 요건 만족스럽네요 보드게임들도 새거마냥 깨끗했네요 게임이 다양하게 있어서 고르기 쉽지 않았는데 싸장님인지 직원분인지 겁나 친절하게 알려주셔서 좋았으요 맥주마시면서 보드게임도 즐기고 좌석도 편안해서 오랜시간있어도 궁둥이가 안아팠네요
이색적인 데이트 장소로 딱인듯요
분의기도좋고 션하게 맥주 한잔하면서
보드게임도 즐기고
진짜 시간 가는줄 몰랐네요
완전강추요
가게 내부가 크고 청결함 분위기도 좋고 직원분이 설명 친절하게 잘해주셔서 좋았습니당 
맥주한잔 하면서 게임도 하고 분위기 짱좋 직원분들도 친절하시고 매장도 넓습니당 다트나 카드게임 등 익숙한 게임들도 많아서 첨인데도 재밌었어요
제주도 날씨는 변덕이심해 실내에서놀곳도 찾아ㅤㄴㅘㅅ어야해서 비오는날 딱 방문했어요
사전에 후기많이보고가서 기대만큼 좋았습니다
원래 보드게임이랑 방탈출 등 게임 하는거 좋아해서 방문 했는데 대만족  직원들 다 친절히 설명해줘서 초보자들이 즐기기에도 무난 해요 단점이라면
시간가는줄 모름 
매장이 너무 깔끔하고 좋아요
직원분들 친절하시고 게임 종류 다양해서 재밌게 놀다갑니다
술종류도 많고 직원분들 넘친절하시고 재밋어서 시간 훅가버렸네요 
재방문하고싶은곳이예요  
인테리어 진짜 고급스러워서 맘에 들어요
펍과 게임이라늬 하며 방문했는데 너무 즐겁게 놀다와서 금방 또 다녀올려고요
게임 좋아하는 친구들이랑 방문했어요
설명도 상세히 해주시고 분위기도 좋아서 다들 너무 신나게 놀다왔네요
직원분들도 너무 친절하셔서 다들 편하고 좋다고 난리였네요 
이색 데이트로 즐기기 좋으네요 친절하시구 설명 하나하나 잘해주셔서 어려움없이 게임 즐기기 좋았구 위치도 핫플에 있는 쪽이였고 시원한 맥주랑 즐기기 좋았어용  
위치도 괜찮았고 찾기 어려움 없었어여
공간이 넓고 깨끗해서 맘에 들었고
보드게임 즐기기 좋네여 이벤트도 있고 재밌었어여 
깔끔하고 감성적인 분위기였어용 직원분들두 친절하시고 설명도 잘해주시구 게임도 다양해서 좋았어용 가성비도 괜찮았구 시간 순삭
시간 가는 줄 모르고 놀았네요
블로그 보고 찾아갔는데 너무 좋았어요
다음에 제주도 놀러 올때도 또 한번 
오고 싶은 생각나는 곳이에요
오랜만에 젊음을 느끼고싶어서 간곳
일행들이랑 진짜 씬나게 놀다왔어오
또가고싶다
시부모님 뵈러왔다가 시엄마께서 데이트하고 오라구 애기봐주시겠다 해서 진짜 즐거운 데이트했습니다
게임도 재밌구요 간단하게 술마시면서 즐기기 좋았어요 간만에 연애시절때처럼 내기도 하고 재밌었습니다
제주도에 놀려왔는데 저녁엔 놀거리가 없어서 친구랑 고민하다가 우연히 갔어요
펍은 처음이여서 우물쭈물하니 직원분께서 친절하게 게임하는 방법알려주셔서 금방 게임 룰을 알 수 있었어요
다른 사람과 함께 게임하니 더욱 재미있고 다트도 있어서 즐거운 시간이되었습니다
너무너무 잘갔다왔어요 
제주도 놀러가면 무조권 방문 추천합니다
오랜만에 간 제주도에서 친구랑 즐겁게 시간을 보냈어요 시설도 깔끔하고 사장님도 너무 친절하시네요 가성비가 좋아요 구웃
넘 좋앗던 시간입니다 홀덤은 첨인데 설명도 친절하게 해주시고 매너 잇어서 다들 시간가는 줄 몰랏네요
매번 카페만 가서 각자 핸드폰보기 바쁜데 정말 오랜만에 핸드폰내려놓고 즐거웠습니다
색다른 즐거움이었어요 다음에 또 방문 할 것 같아요 시간가는줄 모르겠더라구요
간만에 너무너무 잘 놀다가요  놀러온 기분 확 듭니다
친구 다녀온거 보고 바로 따라왔는데 대만족 꿀잼입니다
이런곳이 있었네요  신기했고 재밋었어요
완전 재밌었어요  잘놀다 갑니다 
친절해요  이벤트도 재밌구영  잘놀았어요
남자친구가 고른 남자친구 사심 듬뿍 담긴 곳  근데 저도 재밌었어요
이날 옆에있던분 이벤트 당첨되셔서 금 돈에 당첨되셨는데 진짜 부럽드라구요 파켓으로 포카드 띄우긴데 남들도 다 할 수 있는거라 저도 담번에 또 도전해보러 가려고요 재밌었습니다 수고하세요
다양한 바이인 금액에 여러가지 게임을 즐길 수 있어서 좋았어요 넓고 좋습니다 다음에 또 올게요
여러가지 게임이 있어 좋았어요
다른 보드게임도 많고 가게도 깔끔하고
다음에 또 들릴게요
사장님도 직원분도 친절하시고 매장도 깨끗하고 좋아서 잘 놀다갑니다 
사장님이 제주도 토박이 느낌나서 좋았어유
