리뷰
로제는 역시 맛있엉
굿
맛집추가요
굿
제주 가서 먹었는데
순대가 차가워서 조금 아쉬웠어요
엄마가 먹느라 바빠서 아들인 저한테 대신 리뷰 이벤트를 시켰습니다 양많고 맛있고 친절하데요
와 진짜 맛있어요 오픈하자마자 국물까지 싹 비웠어요 번창하세요
맛있어요
여행와서 포장해다가 먹었어요 보통맛 으로 먹었는데 적당합니다
좋아요
좋아요
너무 맛있어요 
굿
좋아요
맛있어요
중딩아들이 로제떡볶이 맛있다고 여기서만 주문합니다
중아들이 맛있다고 하네요
맛있어요맛있어요
배떡은 언제나 옳아요 로제떡볶이에 중국당면은 필수
맛있고 친절해요
첫 방문인데 사장님도 친절하시고 너무 맛있었어요
포장해서 먹는데도 맛있어요
맛있어요
배떡 로제가 워낙 핫해서 집에서 한시간 거리인데도 찾아가봤어요
너무 맛있네요 
소문대로 로제맛집
떡볶이 소스가 찐해서 사이드들도 술술 들어갑니다
처음 포장해서먹었는데 양도많고 맛있어요애들도 맛있게 잘먹었어욧 서비스도 감사
진짜 너무 맛있어요 포장 했는데 가게 직원 분 들이랑 사장님도 너무 착하시고 좋았어요 튀김도 시켰는데 특히 치즈볼 너무 맛있어용
최고맛있어용
처음와서 포장해갔는데 진짜 너무맛있음
아
다먹고 쏘스까지 싹 발라먹었어요 친절하신 사장님 다음에 또갈께요
최근 먹은떡볶이 중 원탑임
로제떡볶이만 먹을려다가 튀김도 같이 포장해갔는데 튀김 진짜 존맛탱 떡뽀끼도 너므너므 맛ㅤㅇㅣㅎ었어요 담에는 시켜서 먹을께요
포장해서 처음 먹어봤는데 맛있었고 직원분들이 전부 친절하게 응대해주셨어요  감사합니당 적게일하고 많이 버세요 
로제떡볶이 너무맛있어용
로제 ㅤㄸㅓㄲ볶이 어디서 먹을까 고민되신다면 출출한 저녁에 식사를 고민하신다면 ㅤㄸㅓㄲ볶이가 당기는 날에는 배떡 어떠신지요 자녀들이 참말로 좋아합니다  강 력 추 천 하는 맛 집 입니다  신속 배달 맛 집 배달 ㅤㄸㅓㄲ볶이의 번창을 응원합니다 
로제떡볶이에 알밥은 찰떡궁합이었어요
눈물나게 맛있어요
떡볶이랑 튀김 너무 맛있어요 
너무맛있었어요
로제 떡볶이 맛있는데 번 먹으니까 좀 질리는 것 같긴해용
이렇게 맛있는 로제 떡볶이 
첨먹어봐용
소스가 진하고 진짜 맛있네요
중독성강한 로제 떡볶이네요
해쉬브라운 튀김도 너무 바삭하고
맛있어요
로제떡볶이 처음 먹어봤는데 너무 맛있어요 
국물떡볶이는 옛날떡볶이 맛이에요 옛날떡볶이 드시고 싶은분들 추천드려요  이제 로제떡볶이 여기에서만 먹으려고요 
맛있게 잘 먹었습니다
왜 배떡 로제로제 하는지 알겠습니다
짜장은 어린애들이 좋아했습니다
이제까지 먹은 로제중에 배떡이 최고네요 다음번에는 다른떡볶이도 한번 먹어봐야겠네요
