리뷰
좋아요
너무맛있게 잘먹었습니다
다음에도 또 올께요
김치우동 계속생각나네
추억의 투다리 안주 다 맛있고 사장님 완전 친절하심
굿
좋아요
와어쩜 체인점 오뎅탕이 이런맛이 
맛있는데 비쌈 
부담없이 편안한 곳
년 기준 년의 역사가 있는 투다리 최고에요
사장님 친절해요
김치우동은 맛있는데 촉촉노가리가 촉촉이 아니네요
