리뷰
굿
맥주한잔
반반메뉴 먹고 싶은거 선택해서 무난하고 젤 잘나가는 오리지널 간장 반반 시켰어요 역시 먹어보니 왜 맛있는지 왜 다른 닭강정과 비교할수 없는지 알겠네요
""
기름도 깨끗한거 같구 겉바속촉 사장님이 떡도 많이 넣어 주시고 잘먹었습니다
국내산 생닭이라서 더 맘에 들었네요 다른곳은 브라질산을 많이 쓰던데 
강츄 강츄
국내산닭이라그런지 잡내도없고 맛있어요
""
다음엔 다른맛으로 주문해서 먹어봐야겠어요
""
주문이밀려 기다리고있었는 사장님이 친절히 대
""
해주셔서 좋았어요
닭강정이 맛나요
매운닭강정 또 생각나요
무뚝뚝한 사장님에 그냥 평범한 닭강정
굿
양 푸짐하고 맛있어요
굿
가성비 너무 좋아요 둘이서 한팩 시켰는데도 양이 넉넉하니 먹기 정말 좋았어요 사장님도 친절하시고 가게도 깔끔하니 좋습니당
바삭 달콤 그리고 끝은 담백한 육즙여기에 탄산이 더하니 뭐가더 필요할까요 잘먹겠습니다
사장님 너무 친절하시고 맛잇네요
맛있어요
매장에서 먹다가 맛있어서 지인한테 바로 배달쐈어요 오리지널 당연 맛나고 갈비마요랑 양조간장 매운맛도 존맛탱 빠질게 없네요  매장도 깔끔해요
제주에서 보기 힘든 닭강정 맛이네요
많이 달지도 짜지도 않고 딱좋아요
떡사리 강추요
포장해서 먹다가 너무 맛있어서 먹던중 리뷰 남겨요
닭강정 안에 떡 진짜 맛있네요
담엔 떡추가도 해야겠어요
양배추 샐러드는 추억을 떠올리게 하는 맛이네요
너무 맛있어요
