리뷰
좋아요
사진이 없어서 아쉽지만 안주가 맛있어요 피자 가격도 비싸지 않고 도란도란 얘기하면서 마시기 좋은 곳이에요  여자 직원분이 그닥 친절하진 않으셨어요  차로 가기에 좋은 술집 같습니다
인테리어가 예뻐요
좋아요
좋아요
꼬치가 너무 바짝익어염통은딱딱하고 다른메뉴먹을껄후회
간단히 즐기기에는 안주가격이 부담스럽네요 다른곳보다 비싼거 같아요
술한잔하기 좋아요
직원분 너무 친절해서 또 가고 싶은 마음이 들었어요 
그리구 별빛청하 생겼으면 좋겠어요
""
맛나요
가격이 저렴한편은 아니예요
분위기가 좋아서 이틀 연속 갔네요
소주 천원
굿
맛 있고 분위기도 좋아요
안주가 전부 다 맛있어요
사장님 완전 친절하시고요
자주 가야겠어요
맛있어요
하이볼은 맛났는데 과일샐러드 과일 상태가 별로고 쏘쏘했어요
맛나요
분위기 좋고 음식도 맛있어요
처음 방문했는데 단골 예정
너무맛있어요 다음에 또 올게요
좋아요
분위기도 좋고 안주도 괜찮아요
맛있어용
안주도 맛잇고 사장님도 친절하세여
안주가 다 무겁고 비싸요맛도 썩 맛나는 안주도없구요더욱이 저녁먹고 가기에는 너무 부담되는집
치킨맛집입니당 맥주도 짱
안주맛집 사장님도 너무 친절
""
분위기 좋아요
친절하시고
안주맛있어요
안주도 맛있고 분위기도 좋아요
굿
