리뷰
맛있게 먹었습니다 
올만에 조카랑가서 
폭식을 했네요
저 국물이 밥을 꼭 
두그릇씩 먹게하네여
역시는 역시에요 
닭볶음 전문점 보다 
맛있으면 어떻해요
 빨리먹을 생각에 사진을 
못찍었어요
바껍은 사랑 입니다
오래오래 장사해 주세요
배민도 하셔서 얼마나
좋은지 몰라여
조만간 또 주문할께용
안주 너무 맛있어요닭도리탕 대박
진짜 존맛 소스대박 여태껏먹은것중에최고
진심 소스랑 고기는 어디전문점보다나은듯
배고플때마다 생각날듯 
좋은 사람과 좋은 곳 에서  
꼬막이랑 석화 중에 고민하다 
오늘은 꼬막 너로 정해부러따 
사장님네가 장을 그날그날봐서
그런지 엄청싱싱함
잘먹고 갑니닷 
분위기좋고 안주도 하나하나 다 맛있음 뻔데기 샤브샤브 감자전 석화 꼭 먹어봐바요 처음온사람은 있어도 한번만 온사람은 없음
와
석화 신선하고 넘 맛있어요
사장님도 너무 친절하시고 좋아용
딱새우버터구이
한라토닉
년째단골집
오늘은딱새우로혀르가즘
분위기 좋고 안주 너무 맛있어요
여기는 찐이다처음왔는데 술이 계속 들어간다
