리뷰
굿 좋아요
다 좋은데 화장실이 너무 지저분해요특히 남자변기및 어자변기세면대 청소를 좀 하셔야 될거 같아요
조용하고 좋아요
맛있어요
맛있고 친절하세요
사장님이 친절하시고 커피맛이 좋아요
연하고 맛있어요
사장님 친절하시고 조용하네요
민트초코칩요프지노망고블루베리 오거트 맛짱
