리뷰
""
기본 반찬이 시원한 낙지 조개탕화덕에 직접 구워주신 오겹살이 맛있음
차이나 직원분들
친절 하시네요
굿
곱창전골 첨 먹어본건데 완전 짱 맛나게 먹엇습니다또 갈게요
굿
굿
""
내장탕 국물 시원하고 좋았어요 늦게까지 영업하시는 것도 좋아요
좋아요
""
좋아요
맛있어요
굳
좀더 바삭하게 구워줬음 좋겠어요맛있어요
맛이 기대이하였어요
굿
가격대비 음식하구 서비스 좋아요
