리뷰
무난합니다
양념갈비  김치찌개 조합은 굿굿 
생돈한판 흑돼지로 먹음
밑반찬들이 모두 맛있고 친절하였음
돼지고기를 초벌구이 하여 서빙해주므로 조금만 더 구워서 먹으면 되었음
흑돼지 양념갈지 김치찌개 김치말이국수 돼지껍데기까지 모두 먹을 수 있어서 좋았음
양념갈비 김치찌개 너무 조합이 좋네요
굿
처고
한라생돈
셋이서 한판세트 배부르게 먹었습니다
맛있었어요
껍데기 맛집이에요 꼭드세요
양념목살 김치찌개 맛있어요 굿굿
고기를 구워서 주셔서 편하게 먹었어요 고기 넘나 맛있는 캡숑짱
고기가 맛있어요
한라 한판 먹었는데요
새우가 먹음직스러운 비주얼만큼 맛도 좋아요
고기도 껍데기도 찌개도 맛있었습니다
국수는 배불러서 패스했어요
맛있는데 가격은 조금 비싼거 같아요
포장도 맛있어요 
맛나요
직원분들 진짜 친절하고 음식 다 맛있어요
제주도민인데 앞으로 자주 방문할듯해요
여자직원분 특히 짱 친절해용
일단 고기는 존맛탱이고요  근고기 세트만 시켜도 김치말이국수 양념목살 껍데기 김치찌개까지 나와서 배 터집니다 양념목살 밥에 올려먹었더니 너무 맛있어서 바로 양념목살 추가해서 한판 더 먹었습니다 
다 너무 친절하셔서 덕분에 즐겁게 식사했습니다 또 갈게용 
어쩜 다 맛있음
""
고기가 부드럽다
""
껍데기가 쫀득하다 
""
세트메뉴 김치말이국수김치찌개는 쏘쏘개인적인 입맛 
""
사장님이 다 구워서 주심따로 구울 필요 없고 불판에 데워서만 먹으면 됨굽지 않아도 돼서 좋음
""
세트 메뉴 대체적으로 나쁘지 않은 가격
화장실 남녀 한칸이라 사용하기 불편함 
간단하게 일차로 먹기는 좋은데 가격이 저렴한 편은아니라 계속 먹기에는 부담이 있음
직원분들 진짜 친절 맛있게 잘 먹었어요
찐도민 맛집이에요
왕새우 치즈 버터구이 진짜 무조건 먹어야 돼요
고기도 너무 맛있고 직원도 친절해요
완전 강추강추
재방문 
직원분들이랑 사장님 너무 친절하시고 고기를 초벌해서 주셔서 편하고 너무 맛있어요 고기는 물론 김치말이 국수 최고에요 
고기 신선하고 맛있어요
""
무엇보다 너무 친절하셔서 기분좋게 먹었습니다
맛있게 잘 먹었네요 좀 비싸긴 해요
제주 여행에서 찾은 맛집이에요
고기도 싱성하고 맛있고 김치말이국수 김치찌개 모두 천국의맛이에요
초벌로 구워서 나와서 굽기도 더 쉬웠어요
또 생각나는맛이에요
츄릅 다음에 제주방문하면 꼭 다시 방문해야겠어요
먹다보니 못찍었어요
고기를 다 구워주셔서 잘 먹을수 있었습니다
서비스도 잘 해주시고 친절하셨습니다
다음에 또 가게될거 같습니다
맛있고 친절해요
굳
맛있어요
진짜 관광객 위주 줄서서 먹는 곳보다 여기가 진짜 찐이에요 서비스 껍데기도 맛있고 흑돼지 삼겹살 쫄깃하고 담잭하고 진짜 맛있어요
직원분들도 너무 친절하시고 음식맛도 최고입니다
특히 왕새우버터구이
김치찌개 미쳤어요
다음에 여행오면 꼭 다시갈거예요
굿
고기 너무 맛있어요 근처 살아서 자주 갈께요
서비스로 주신 껍데기도 진짜 너무 맛있어요
도민맛집 돼지맛집 새우맛집
근고기맛집 김치말이국수맛집 김치찌개맛집 한라생돈 짱
블로거보고 왔는데 후회없는 찐 맛집이네용 
나만 알고 싶은 맛집 등극
정말 맛있는 흑돼지  버터구이새우 제주도에서 제일 맛있게 먹었어요
신선하고 맛있어요
실패없는맛집  친절해서 더 좋은곳 
제가 진짜 좋아하는 한라생돈 
분위기도 아지트 느낌에 고기도 신선해서 자주 갑니다 추천해요
진짜 맛있네요 근고기도 너무 맛있는데 왕새우 진짜 이거때문에 자주 방문하게 되네요
""
너무 맛있어요 왕추천드립니다
맛과 양 모두 대만족했습니다
다음 제주도 방문했을때도 바로 달려갑니다
한라한판 이거 핵맛세트 
왕새우와 흑돼지의 콜라보뤠이션
한라한판 먹었는데 새우 치즈 듬뿍 곁들여먹으니 술안주로 좋았어요 마지막에 남은 새우로 쌈까지 싸먹었어요  셋이서 먹기 양이 푸짐합니다
초벌구이해서 나오기 때문에 맛있게 구워져있는게 너무 좋구요  식사로 김치찌게랑 고기랑 먹으면서 든든하게 배채웠어요 서비스로 나온 돼지껍데기가 술안주로 먹기에도 넘 좋습니다
맛있어요 재방문 예정 
고기가 정말 맛있어요
직원분들도 굉장히 친절해요 다음에 또 방문 예정입니다
쫄깃 탱탱 미친흑돼지 무족권 먹어보세요
고기 맛있고 친절해요
선지국 서비스 주시는데 저는 못먹어서
된장찌게면 더좋을텐데
된장찌개가 안나와서 실망이에요
진짜 맛있어요
정말 맛있어요
양념목살 먹었는데 숯불향 입힌 스테이크 먹는 느낌이에요 맛 예술  단골 될듯요
짱맛이에용
직원들도 친절하고 술국도 맛있어요 
아쉬운게 추가시 정해져 있는 그람수로만
시켜야 하는게 너무 아쉬워요 
김치찌개 맛있어요
