리뷰
좋아오
맛있어요
자주 구매해요
굿
순 살이고 맵지 않아서 아이들도 맛있게 먹을 수 있어요  국내산 닭을 사용해서 진짜 맛있어요 쫀득쫀득한 떡 튀김도 완전 맛있네요 튀김과 함께 먹으면 대박 인생치킨 치킨 맛집
체인점인데 제주에 유일하게 있더라고요
궁금해서 갔는데 너무 맛있네요
맵기 조절도 가능해서 너무 좋구요 
그리고 투움바 가래떡 떡볶이
예술입니다 여자들이 좋아할 맛이에요 
술안주로도 딱이네요
다음에 또 가야겠어요
