리뷰
커피 맛있어요
커피 원두 고소한 맛과 산미 있는 것 중 선택 가능해요
커피맛있고 친절하셔요
좋아요
굿
커피내리는 기계가 수동이네요 처음봤어요
커피를 잘 못마셔서 밀크티를 주문했는데
다음에 와서 커피도 마셔보고 싶네요
인테리어가 예쁘고 음료 가격도 저렴해요
""
도란도란 이야기 하거나 일하기도 괜찮은 분위기에요
더치커피도 고소하고 맛있고
밀크티도 달콤하고 진해서 좋아요
동네 커피가게
작고 아담하고 관광객보다는 동네사람들
굿
가성비도 좋고 맛도 좋아요
눈이 오내요
좋아요
베이스노트 사장님도 친절하시고 커피음료도 맛있어요
그리고 실내도 조용하고 편해서 마시고 가기도 좋네요 추천합니다
굿굿
취향껏 선택가능한 원두 
넘좋아요
굿
분위기 좋고 깨끗하게 유지되서 좋아요
좋아요
좋아요
젤라또 전문 기계가 있는 전문점이에요
진한 라떼네요맛있어요
겉에서 봤을때는 안이 너무 어두워서 문 닫은줄만 알았네요 사람이 나오는거 보고 열었구나 싶어 차 대충 세우고 들어갔어요
커피는
음
진한거 좋아하시는 분 추천요
굿
좋아요
깔끔하고 이쁜데 가격도 착해요 
직원분이 엄청 친절하세요
연유라떼 맛있어요
스무디 종류 양 많고 맛있어요
식당에서밥먹고 가까운곳찾아가느라갔어요
화장실관리가안되어있었어요
커피 향 좋아요
아늑하고 좋아요
좋아요
커피숍입니다 저렴하네요
녹차라떼는 개 비추 걍 녹차맛 거의 안나는 우유에 물탄맛
커피맛도 좋고 싸고 자주갑니다
아친절하진않아요오
무난무난
붐빔
굿
좋아요
좋음
조용해서 좋아요
식후 자몽에이드 한잔의 여유
좋아요 추천합니다
좋아요
가게도 분위기있고 빙수맛도깔끔했어요
굿굿
굿
로얄밀크티 아이스 맛있어요  주변에 관공서있어서 점심은 바빠요
직원분 친절하세요
라떼 맛있어요
굿
커피맛집
직접 로스팅하는 곳이 아니었네요
철문이라 외관은 투박한 것 같지만 내부는 아늑하고 좋아요
너무비싸고젤라또맛도없음
냉장고냄새남
점심먹고 커피한잔의 여유를 즐기면서 하루의 근무
