리뷰
너무 불친절해요 처음에 계좌이체 해달라고 하셨는데 카드 사용한다니깐 짜증내는 어투로 카드 줘보라는 식으로 얘기하였고 카드기 로딩 걸리는 동안 계속 궁시렁 거렸습니다 이제까지 맛있어서 가족 지인 등 여러사람 들과 함께 왔는데 이제는 못 올 것 같네요
꽤나 오래된 분식집입니다
특이하게도 술을 판다는 
몇년전에 갔을땐 고기국수가 천원이었는데 당연한 말이지만 이곳도 물가인상을 피하진 못하는군요
전반적으로 가격이 싸고 무난한 맛입니다
늦은 시간까지 하는것은 장점이네요
오래된 곳이라 그런지 카드결제 안 좋게말씀하시네요 이체도 못하는 상황이라 카드로했는데 아쉬웠어요
맛있어요
이모님들도 친절하세요
종종 즐겨먹는 떡볶이 맛집이에요 저렴하고 양도 많아요
갓 튀긴 튀김이 진짜 맛있고요
주차가 좀 어려워요
가성비좋아요
가성비 좋아요
가성비 좋아요
가성비 좋아요
가성비 최고에요
좋아요
싸고 맛있어요
가성비가 좋아요
가성비가 좋아요
굿
좋아요
너무맛있어요
역시 이모님들 
엄마같이 푸근합니다 
여기 집 만큼 떡볶이 맛 좋은데도 없죠 
라면 김밥 순대 떡볶이 튀김 진짜 제가 제일 좋아하는곳 
맛은 있고 양도 넉넉하게 주는데
위생과 친절문제
