word,count
분명하다,1
백퍼,1
웬,1
도중,1
손가락,1
입구,1
살로,1
뿜뿜불판,1
적중,1
뒤,1
불향,1
수가,1
아시,1
비갑,1
장화,1
신고,1
훌륭,1
어유,1
계획,1
굳이,1
달콤하다,1
있어ㅤㅇㅛㅎ,1
휴무,1
보이시,1
골프,1
티비,1
방직,1
주방,1
땜,1
콤,1
지저분하다,1
때마침,1
체고,1
당부,1
깜빡,1
똑똑하다,1
똑바로,1
대고,1
델,1
세상,1
감동,1
굿굿굿,1
사용,1
연,1
ㅤㄴㅓㄿ,1
과식,1
불도,1
본적,1
순환,1
절,1
진정하다,1
단파,1
놀러와,1
달이,1
용하다,1
삼겹,1
이벤트,1
의심,1
원하다,1
맹해,1
경쟁,1
콘치,1
소,1
주인,1
고맙다,1
중독,1
비슷하다,1
하나요,1
디퓨져향,1
안내,1
선,1
댓글,1
스믈스믈,1
실화,1
욕,1
눈탱,1
움,1
대가,1
대안,1
엄한데,1
마침표,1
비분,1
지난,1
하자,1
슬프다,1
맛깔,1
새삼,1
운,1
오픈,1
뚜벅,1
마자,1
꿀맛,1
애매하다,1
이맘,1
장소,1
화장실,1
잠시,1
매번,1
광고,1
구색,1
상대,1
덤,1
여유,1
업체,1
제한,1
영업,1
워,1
굳다,1
베스트,1
뭔가,1
연발,1
요소,1
개시,1
이간,1
차관,1
실례,1
껍데기,1
화요일,1
커서,1
오히려,1
쫀득하,1
시공,1
가끔,1
뱅크,1
복잡하다,1
소박하다,1
적절하다,1
편의,1
결제,1
둥글다,1
성도,1
임개,1
시끌시끌하다,1
대기,1
인상,1
갈치,1
코지,1
송,1
장도,1
나영,1
고기만,1
섭,1
정돈,1
태도,1
작다,1
구경,1
얇다,1
써비스,1
책,1
인형,1
장난감,1
키다,1
항상,1
쯤,1
차라리,1
멋지다,1
고려,1
진지하다,1
심하다,1
매년,1
ㅤㅅㅡㅊ불,1
사,1
류,1
질겨,1
냇,1
연기,1
취,1
담배,1
모양,1
소개,1
순,1
조음,1
숙작라,1
전국,1
픽엄,1
오기,1
단위,1
치,1
남녀,1
노소,1
스스로,1
딸램,1
성산읍,1
에드,1
서귀포,1
미식,1
로컬,1
동쪽,1
관리,1
뒷말,1
강압,1
메뉴판,1
감,1
퀄,1
두,1
도톰하다,1
가까이,1
안도,1
입도,1
특유,1
은월,1
호평,1
처럼,1
불구,1
웨이팅,1
맥혀,1
해비,1
패드,1
후반,1
만원,1
요즘,1
안감,1
일차,1
밥상머리,1
특선,1
누가,1
염,1
갈고,1
판,1
신분,1
는걸,1
자,1
덕,1
안심,1
더더,1
가비,1
그을음,1
성비,1
한가하다,1
아쉬움,1
맛또링,1
롱런,1
여서,1
주중,1
입안,1
마음껏,1
황홀하다,1
새우,1
싱싱하다,1
이름,1
쿨하다,1
방식,1
동선,1
서서,1
줄,1
새,1
주심,1
엄청나다,1
꼬기,1
각,1
따라서,1
식초,1
얼음,1
사업,1
최고급,1
생일,1
신맛,1
맞이,1
말르다,1
벌써,1
한우,1
저리,1
ㅤㅂㅘㅅ,1
얘,1
궁합,1
달러,1
소금,1
설명,1
진정,1
이이,1
꼬,1
소하,1
여자친구,1
전체,1
비쥬,1
절로,1
네,1
레알,1
촉촉,1
추억,1
ㅤㅁㅏㅆ있,1
김,1
ㅤㅁㅏㅆ,1
마ㅤㅅㅣㅆ어,1
느끼하다,1
싫어하다,1
껍질,1
인정이,1
여동생,1
품질,1
여러,1
색깔,1
남다르다,1
동네,1
각오,1
욤,1
쩔어요,1
아빠,1
동생,1
진하다,1
일품,1
풍부하다,1
잡채,1
요다음,1
쭈우욱,1
달달,1
이구,1
쫄깃해,1
급하다,1
ㅤㅊㅚㄱ오,1
간격,1
조용하다,1
묘미,1
켜,1
훈연향,1
만약,1
꼽을,1
어지간하다,1
어쩌,1
간전,1
어차피,1
둘째,1
저기,1
양파,1
중간,1
래야,1
훈연돼,1
제휴,1
대해,1
다섯,1
칭찬,1
뿜뿜입니,1
적극,1
반찬세,1
팅,1
금방,1
멀리,1
클리어,1
현지,1
최,1
곱다,1
몇,1
워낙,1
끝내주다,1
추강,1
추,1
애월,1
겸사겸사,1
인기,1
시들하다,1
문,1
잡고,1
쉽다,1
모임,1
껏,1
첫날,1
으뜸,1
위,1
정성,1
도편,1
색다르다,1
맛보기,1
적당하다,1
이나,1
향기,1
열,1
환상,1
살살,1
감자,1
구수하다,1
자마자,1
다운,1
역대,1
관광지,1
공기,1
뚝딱,1
포항,1
처,1
참고,1
파채,1
셋,1
이서,1
매콤,1
모해,1
게임,1
차별,1
할머니,1
이용도,1
아쿠아플라넷,1
하루,1
더없이,1
훈연된,1
데,1
메인,1
만점,1
편리하다,1
안질,1
상,1
비주,1
훈연흑돼,1
장담,1
컨데,1
마인드,1
답,1
츠,1
천하다,1
려고,1
월,1
여전하다,1
산사,1
그람,1
충분하다,1
자고로,1
마다,1
주르륵,1
지금껏,1
얘기,1
건가,1
사모님,1
임,1
기고,1
픽드랍,1
여행가,1
성공하다,1
초,1
왕복,1
무료,1
제공,1
놀이터,1
모자,1
부모,1
ㅤㄷㅘㅁ,1
창가,1
첫,1
날첫,1
끼니,1
혜택,1
헷갈리다,1
난건,1
깃밥,1
상추,1
막,1
섭스,1
시,1
환,1
풍구,1
액,1
졸맛,1
가짓수,1
알차다,1
다행,1
주위,1
집도,1
조미료,1
비법,1
이해,1
후룩,1
딸,1
저장,1
일요일,1
낮,1
다기,1
닷,1
대성공,1
얼굴,1
알다,1
양호,1
음료수,1
방송,1
석,1
대요,1
반했어,1
상당하다,1
비교,1
불가,1
근무,1
부서,1
회식,1
종종,1
지난번,1
신혼여행,1
회사,1
워크숍,1
계속,1
입장,1
앗,1
식당가,1
부터,1
약시,1
양념장,1
기억,1
은,1
요청,1
쫄깃한,1
족족,1
뱃속,1
만요,1
미인,1
흔쾌하다,1
운전,1
키즈룸,1
특이하다,1
곁,1
푹,1
맛있ㅤㄷㅑㅇ,1
달걀찜,1
고요,1
내일,1
도장,1
출근,1
무방,1
당일,1
새롭다,1
평범,1
뿔,1
덩어리,1
힘드다,1
거의,1
무맛,1
구석,1
꽉,1
돼지갈비,1
간다,1
인,1
분만,1
풍경,1
개월,1
쏙,1
야들야들,1
핵존맛,1
존맛존맛,1
누렇,1
그동안,1
랍,1
운전자,1
페이,1
블,1
주기,1
위로,1
더욱,1
요기,1
대도,1
실망,1
든든하다,1
작,1
저번,1
마찬가지,1
한결같다,1
맛남,1
굉장하다,1
서도,1
쫄깃하거,1
앤드,1
불리,1
땃,1
번은,1
다른사람,1
동안,1
군데,1
일주일,1
짜증나다,1
물리,1
매력,1
아넹,1
왕,1
관광,1
오신,1
완,1
등주,1
숱,1
뎁혀,1
절약,1
훈연맛,1
꼭꼭,1
진자,1
무척,1
구성,1
중요하다,1
겹목살,1
표정,1
창고,1
골,1
극찬,1
이유,1
지대,1
존맛탱,1
고객,1
스,1
고항,1
자고,1
메모,1
왓는데,1
뭐해,1
차,1
후루룩,1
굽,1
외식,1
쓰시,1
뻔,1
체,1
차갑다,1
어서,1
나중,1
도면,1
왠만하다,1
하라,1
오늘이,1
나름,1
일이,1
금,1
임도,1
음,1
대체,1
검증,1
다말,1
디테,1
에너지,1
낭비,1
등록,1
뿐이다,1
부족하다,1
