사업장명,id
돈떵이,30834972
미풍해장국연동점,1165135794
느리게걷기,0000
연동본가연동점,0000
서서방숯불닭갈비,1979345055
유미카츠 연동점,0000
고집순두부연동본점,0000
꽃담,0000
일품순두부도청점,0000
수라상,0000
쿠잉,0000
혼밥대왕신제주점,1554812601
치킨신드롬신제주점,1013545557
낚시꾼,1945231274
참닭갈비신제주점,16837174
산지물신제주점,19987020
도르라갈비,1874375407
이국향,0000
연동마라도,1848251723
셔츠,0000
미나리,0000
살롱,0000
가이아,0000
목포홍탁집,0000
이가촌,37392939
삼대국수회관신제주점,16830862
자연뜨락,16851316
아사히,0000
옥희연동,1587298748
제이,0000
교촌치킨제주1호,11802560
부산서면양곱창분점,1666247568
진홍식당,1900168581
희양양연동점,1575929077
동네마당,0000
티바두마리치킨연동점,1425708653
올레가면탁이국수,0000
무허가집,1290778740
떡볶이참잘하는집떡참제주연동노형점,0000
서울정식뷔페,0000
그램그램연동점,0000
언덕위에,20603100
불닭발땡초동대문엽기떡볶이신제주점,0000
신성할망,32162520
괸당집신제주점,1088142357
깜돈흑돼지,16847372
수구레해장국2호점,674999100
수다,0000
이금돈지,12801864
둘둘김밥앤와플칸연동점,0000
어장관리,0000
꽃보다소제주연동점,111558653
어장군,11718476
신제주은남,0000
삼무국수,16855821
피자마을앤파닭,13564845
연동길,16855956
명품대구막창,1898306455
금룡관광호텔구내(1층),0000
진진,0000
부가네얼큰이삼무점,11670061
올리브와뽀빠이,16837978
팝콘,0000
오름해산물,345750987
국수몰고랑,38710871
삼대전통고기국수,16830846
돌담흑돼지주식회사,0000
돌하르방신제주점,32162561
일품연황찜닭,1893641364
맨하탄호텔구내,0000
조개마당,1694284487
도진식당,36771181
사랑담은해물,12884426
회식,0000
이노우에스시,32162605
바라바라,260699950
삼무곱창,1749048525
고향의맛,0000
김씨며느리,16834836
우수미회센타별관,0000
쿠루미,1307246329
바론,0000
반주,1310050589
김박사커피밀,1416649356
도도푸드,1763847549
(주)지앤엘(이클립스),0000
코로웨이니,0000
비아이푸드,1192847030
숙희네흑돼지,1221496345
제주족발보쌈,1620032321
공항근처국밥고기국수,1796246700
바다정원,0000
제주세호해장국연동점,1145574101
다정이네곱창집,1432400555
열정국밥,0000
돈플라이,1268418688
비상식탁,1226327127
시스터즈어묵,0000
시쟈덕,1820957982
24시제주해장국,1217013658
제주의온도,1090006803
자가제빵선명희피자신제주점,1383264392
코코샤넬,0000
산촌오리탕,1833608522
녹색집,1534379985
(주)시더스초밥제주연동점,1623657140
덮밥90도씨,0000
칼맞은삼겹살제원점,1117662874
에바돈가츠제주연동점,0000
굽담,1499464212
토박이장터,31798189
제주옹기설렁탕,13582986
타코닷,1417537889
황금어장,0000
추자본섬연동점,16846671
아싸회,16847283
연동기사식당,16846355
낭랑,32162592
영구스피자제주점,12913905
문카페,0000
돼지삼춘생구이,37867577
장충왕족발,0000
자담치킨연동점,0000
아구찜의정석,1163848032
돈모아,21763750
일등아들,1684121340
꼼닭,20953331
신제주빠빠라기,32150488
우리네보쌈,33657589
몽마르지,32162024
꼴통집본점,1116295877
함지신신불닭발본점,16834650
일루와술밥,0000
진짜루,0000
투다리월드점,11763232
아싸살아있네,1405097012
모살물,32163379
배고파,0000
전주아줌마,0000
막끌리나,34210214
열열이얼큰이제원점,0000
전복나라,32161741
대박국수,32162103
채담,12974883
신마포갈매기신제주점,38724844
신흥관,0000
주주,0000
공푸마라탕,36409058
해녀고기,1003877267
풍요로움,31729105
곤지암할매소머리국밥신제주점,1086919788
퍼스트,0000
끼니,0000
이참흑돼지,0000
엔,0000
울고넘는박달재,197530528
민준이네,16823727
낙지친구,20256293
참숯불닭발,1917349220
어매흑돼지,16833920
지희,0000
바래,0000
고구려,0000
돼지목장,1447002420
남문숯불바베큐앤치킨신제주점,32161484
풍전,0000
제주다방,1146149926
마시모,32162039
제니의정원,0000
커피순,1085809522
유진이네회초밥,35579031
로얄바,0000
골든블루,0000
수복강녕,38312957
테라스탱고,0000
원플러스원,0000
원밀리언,0000
추동신제주점,0000
돼지구이연구소본점,1782553413
연곱,1434365007
7스크린그늘집,0000
윌리엄라운지바,0000
집앞돈가스,0000
와인도시,1943409272
따팡양꼬치,0000
퐁낭쉼팡,0000
제주육대표,1535755682
열린당구카페,0000
제주돼지앤치킨의민족연동점,0000
베르네닭강정,0000
쪽갈비와친구들연동점,1617696144
제주인애,0000
일공일,1289227210
고죽면신제주점,0000
마라유혹,0000
빙고스토리지,1279000916
퍼틴제주,1552070389
마라도해녀촌연동점,1848251723
유퉁국밥,0000
빵위에치즈신제주점,1812853142
구공족발연동점,0000
나고야일식,1140602416
샹웨이,37414873
칠돈가제주공항직영점,1977283571
제주대패,1019287915
007포차,1932246675
