사업장명,도로명전체주소,상세영업상태명
앤,"제주특별자치도 제주시 애월읍 하귀12길 39, 1층",영업
커피베이노형점,"제주특별자치도 제주시 월랑로10길 23, 1층 (노형동)",영업
젠틀래빗제주연동점,"제주특별자치도 제주시 연동12길 4, 15층 (연동)",영업
딜레탕트,"제주특별자치도 제주시 조천읍 신북로 144, 1,2층",영업
원스몰글라스,"제주특별자치도 제주시 서광로32길 27-3, 2층 (이도이동)",영업
제주울어멍김밥,"제주특별자치도 제주시 진군2길 17, 1층 (노형동)",영업
체게바라,"제주특별자치도 제주시 내도3길 21, 1층 (내도동)",영업
미리로,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)",영업
36.5도여름,"제주특별자치도 제주시 애월읍 애납로 165, 1층",영업
더더,"제주특별자치도 제주시 애월읍 엄장로 16, 1층",영업
안녕전복,"제주특별자치도 제주시 관덕로 3, 1층 (삼도이동)",영업
한앤솜하우스,"제주특별자치도 제주시 진군남2길 10-5, 1층 (노형동)",영업
사이분식,"제주특별자치도 제주시 한림읍 한성길 4-1, 1층",영업
치토랑제주아라점,"제주특별자치도 제주시 간월동로 21, 1층 (아라이동)",영업
오그커피,"제주특별자치도 제주시 한림읍 옹포3길 9-3, 1층",영업
과일담,"제주특별자치도 제주시 월랑로4길 13, 1층 (노형동, 흥아빌라)",영업
온푸드,"제주특별자치도 제주시 신설로11길 51, 1층 (이도이동)",영업
삼양백년짜장,"제주특별자치도 제주시 설촌로12길 36, 1층 (삼양이동)",영업
부원뚝배기,"제주특별자치도 제주시 한림읍 일주서로 5608, 지하1층",영업
호탕,"제주특별자치도 제주시 애월읍 애월로8길 8, 1층",영업
온월,"제주특별자치도 제주시 한림읍 명월성로 137-19, 1층",영업
다다미,"제주특별자치도 제주시 월랑로 30, 1층 2호 (노형동)",영업
플로리카페,"제주특별자치도 제주시 연신로 188-20, 누리힐 1층 (영평동)",영업
춘천명동닭갈비삼화점,"제주특별자치도 제주시 화삼로1길 16, 1층 (화북일동)",영업
옹포쌀국수,"제주특별자치도 제주시 서문로 70-1, 1~3층 (용담일동)",영업
카페공방아지트,"제주특별자치도 제주시 조천읍 조천7길 25, 1층",영업
바른곱창하귀점,"제주특별자치도 제주시 애월읍 하광로 53, 1층",영업
신제주황가네,"제주특별자치도 제주시 은남3길 28, 1층 (연동)",영업
고이정,"제주특별자치도 제주시 애월읍 애월로 6, A동 1층",영업
객잔,"제주특별자치도 제주시 삼봉로2길 18, 1층 (삼양이동)",영업
옹포83,"제주특별자치도 제주시 한림읍 옹포8길 3, 1층",영업
가죽이랑놀자,"제주특별자치도 제주시 구좌읍 월정7길 44, 1층",영업
일품순두부함덕점,"제주특별자치도 제주시 조천읍 함와로 24, 1층",영업
방긋스낵,"제주특별자치도 제주시 구좌읍 행원로1길 32-5, 1층",영업
질레,"제주특별자치도 제주시 사라봉13길 16, 1층 (건입동)",영업
예서갈비,"제주특별자치도 제주시 인다6길 57, 1층 (아라일동)",영업
주민상회하귀점,"제주특별자치도 제주시 애월읍 하광로 46, 1층",영업
미번베트남쌀국수,"제주특별자치도 제주시 한림읍 한림로5길 23, 1층 1호",영업
가나포차,"제주특별자치도 제주시 신대로20길 46, 지하1층 (연동, 연동가나휘닉스1)",영업
아일랜드프로젝트,"제주특별자치도 제주시 전농로 29, 1층 (삼도일동)",영업
당당,제주특별자치도 제주시 애월읍 중엄안1길 25,영업
미화족발전문점,"제주특별자치도 제주시 진동로5길 31, 144호 (화북일동, 화북시장아파트)",영업
소동잡화,"제주특별자치도 제주시 조천읍 함덕로 32, 2동 1층",영업
진식당,"제주특별자치도 제주시 도남로7길 30, 1층 (도남동)",영업
영도할배국밥,"제주특별자치도 제주시 삼성로 59, 1층 (일도이동)",영업
꼬지사께연동점,"제주특별자치도 제주시 국기로4길 1, 1층 (연동)",영업
제이카페앤바,"제주특별자치도 제주시 서광로32길 16, 3층 (이도이동)",영업
영평가시나물마을회,"제주특별자치도 제주시 516로 2810-31, 양지공원 지하1층 (영평동)",영업
솔삼춘,"제주특별자치도 제주시 조천읍 조함해안로 428-18, 1층",영업
카페포레스트,"제주특별자치도 제주시 구좌읍 비자림로 2330, 1층",영업
착한소21,"제주특별자치도 제주시 천수로 52, 오성빌딩 1층 (일도이동)",영업
맛있는참세상,"제주특별자치도 제주시 한경면 용금로 496, 1층",영업
모스트펍,"제주특별자치도 제주시 원노형2길 29, 2층 (노형동)",영업
무보,"제주특별자치도 제주시 한림읍 금능6길 16-14, 1층",영업
주식회사이스트포레스트,"제주특별자치도 제주시 구좌읍 종달로1길 26-1, 1층",영업
콩창고,"제주특별자치도 제주시 한림읍 명월성로 55, 1층",영업
초딩입맛,"제주특별자치도 제주시 다랑곶길 36, 1층 (노형동, 솔누리주택)",영업
하르방짬뽕,"제주특별자치도 제주시 애월읍 하귀동남4길 4, 1층",영업
푸른바다찜탕,"제주특별자치도 제주시 남성로 42, 1층 (용담일동)",영업
군산야식,"제주특별자치도 제주시 서사로 105, 1층 (삼도일동)",영업
장어창고,"제주특별자치도 제주시 한경면 두신로 146, 1층",영업
회만원,"제주특별자치도 제주시 동광로6길 21, 1층 (이도이동)",영업
동백키친,"제주특별자치도 제주시 한림읍 수원7길 42, 1층",영업
비비큐올리브카페제주시청점,제주특별자치도 제주시 서광로 292-1 (이도이동),영업
돌담위에흑돼지,"제주특별자치도 제주시 애월읍 애월해안로 608, 1층",영업
옛날통닭닭치고족치고함덕점,"제주특별자치도 제주시 조천읍 함와로 54, 1층",영업
골프존클럽하우스그늘집,"제주특별자치도 제주시 월랑로 51, 1층 (노형동)",영업
서머셋,"제주특별자치도 제주시 삼무로 66, 1층 (연동)",영업
엘리펀트힙,"제주특별자치도 제주시 탑동로 20, 1층 (삼도이동)",영업
소확행,"제주특별자치도 제주시 동광로 12, 1층 (이도이동)",영업
나르드카페,"제주특별자치도 제주시 한림읍 한림상로 110, 다동 1층",영업
하시야,"제주특별자치도 제주시 애월읍 애월로11길 7, 1층",영업
딱새우랑,"제주특별자치도 제주시 구좌읍 해맞이해안로 990, 1층",영업
뮤커피(mucoffee),"제주특별자치도 제주시 우정로15길 42-3, 1층 (외도일동)",영업
순옥이네명가함덕점,"제주특별자치도 제주시 조천읍 함덕로 6, 1층",영업
누운,"제주특별자치도 제주시 조천읍 중산간동로 430-1, 1층",영업
때지국수,"제주특별자치도 제주시 신광로8길 3, 1층 (연동)",영업
비비큐제주우도점,"제주특별자치도 제주시 우도면 우도비양길 53-8, 1층",영업
수라원,"제주특별자치도 제주시 구산로 70-1, 1층 (아라일동)",영업
제주담다KBS제주점,"제주특별자치도 제주시 복지로1길 8, KBS 제주방송총국 1층 (도남동)",영업
땡겨불닭,"제주특별자치도 제주시 도남로15길 4-12, 1층 101호 (도남동, 한아빌라)",영업
호랑이다락,"제주특별자치도 제주시 한림읍 한림상로 15-5, 다동 2층",영업
바다수선화식당,"제주특별자치도 제주시 한림읍 협재1길 24, 본동,2동",영업
엠케이엠1에프앤비,"제주특별자치도 제주시 구남로 49, 지1층 (이도이동)",영업
고모네돔베,"제주특별자치도 제주시 조천읍 선교로 519, 1층",영업
연동혼떡,"제주특별자치도 제주시 신대로12길 51, 로얄쇼핑센타및오피스텔 지하2층 20호 (연동)",영업
