행정구역
한림읍
애월읍
구좌읍
조천읍
한경면
추자면
우도면
일도1동
일도2동
이도1동
이도2동
삼도1동
삼도2동
용담1동
용담2동
건입동
화북동
삼양동
봉개동
아라동
오라동
연동
노형동
외도동
이호동
도두동
