사업장명,도로명전체주소
디케이치킨신제주점,제주특별자치도 제주시 은남3길 34 (연동)
신제주명동보쌈,"제주특별자치도 제주시 연화중길 13, 1층 (연동)"
인동마을7080,제주특별자치도 제주시 삼무로 61 (연동)
모이세신제주로타리점,"제주특별자치도 제주시 귀아랑길 31 (연동,(연문1로37))"
토크쇼코스모스점,제주특별자치도 제주시 노연로 147 (연동)
엉덩물,"제주특별자치도 제주시 성두길 7-7 (연동,(성두3로21))"
이거스치킨피자밸리신제주점,"제주특별자치도 제주시 노연로 55 (노형동,(연동로136))"
자구내,제주특별자치도 제주시 삼무로3길 18 (연동)
김밥천국연동점,제주특별자치도 제주시 신광로 47 (연동)
나니포차,"제주특별자치도 제주시 신대로12길 9, 1층 (연동)"
(주)지앤엘(양식),제주특별자치도 제주시 삼무로 67 (연동)
연동제일,"제주특별자치도 제주시 연동3길 15 (연동,(연제2로19))"
홍보석,제주특별자치도 제주시 비월길 5 (연동)
강촌숯불닭갈비제주본점,"제주특별자치도 제주시 신대로14길 50, 1층 (연동)"
보롬왓국수,제주특별자치도 제주시 삼무로3길 32 (연동)
순창갈비,"제주특별자치도 제주시 신광로4길 11 (연동,(제원2로21))"
동이트는집신제주점,제주특별자치도 제주시 연동9길 13 (연동)
중원(반점),"제주특별자치도 제주시 삼무로 49, 1층 (연동)"
돈가,"제주특별자치도 제주시 문송길 36 (연동,(문연1로52))"
라멘맛심,제주특별자치도 제주시 신대로9길 7 (연동)
향천회초밥,제주특별자치도 제주시 신대로18길 56 (연동)
(주)지앤엘(한식),"제주특별자치도 제주시 삼무로 67, 2층 (연동)"
(주)세운상사(신한백화점구내),"제주특별자치도 제주시 노연로 100 (연동,,18,52(연동로71))"
산호,제주특별자치도 제주시 신광로4길 17 (연동)
서영이네해돈가,제주특별자치도 제주시 삼무로3길 30 (연동)
제주섬돈,제주특별자치도 제주시 삼무로3길 46 (연동)
만부정,제주특별자치도 제주시 사장길 38 (연동)
오라버니회센타,"제주특별자치도 제주시 연동11길 36, 1층 (연동)"
빨간맛집제원점,제주특별자치도 제주시 신대로16길 51 (연동)
해븐해븐,"제주특별자치도 제주시 은남3길 34, 2층 (연동)"
화통삼신제주점,제주특별자치도 제주시 신광로4길 15 (연동)
경성숯불양꼬치,제주특별자치도 제주시 신대로14길 36 (연동)
우연,제주특별자치도 제주시 신광로6길 2 (연동)
마리나,제주특별자치도 제주시 신대로 45 (연동)
논짓물,제주특별자치도 제주시 신대로12길 41 (연동)
이비가짬뽕연동점,"제주특별자치도 제주시 연오로 134, 1~2층 (연동)"
먹보횟집,제주특별자치도 제주시 연동11길 24 (연동)
장군닭,"제주특별자치도 제주시 신광로6길 2, 1층 (연동)"
카도돈카츠,제주특별자치도 제주시 문송길 19 (연동)
대화,"제주특별자치도 제주시 신대로14길 31 (연동,(연중4로47))"
제주오토코,제주특별자치도 제주시 신대로18길 56 (연동)
